


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 26

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       1.20              0.55              3.67        1000              1.18              1.31              1.64
4                       1.32              0.68              3.78        1000              1.18              1.32              2.06
8                       1.20              0.52              3.63        1000              1.18              1.31              1.55
16                      1.18              0.46              3.54        1000              1.16              1.33              1.66
32                      1.52              0.68              3.79        1000              1.49              1.74              2.02
64                      1.42              0.54              3.60        1000              1.39              1.54              1.65
128                     2.33              1.15              4.80        1000              2.26              2.60              3.66
256                     2.35              1.12              4.75        1000              2.31              2.50              3.15
512                     2.57              1.41              5.11        1000              2.54              2.73              3.12
1024                    3.32              1.87              5.87        1000              3.29              3.59              4.31
2048                    4.55              2.80              7.15        1000              4.51              4.80              5.71
4096                    6.29              2.98              9.16        1000              6.24              6.76              8.27
8192                   10.70              6.31             14.74        1000              9.77             10.21             13.82
16384                  20.78             11.04             31.44         100             20.41             23.32             27.02
32768                  35.67             19.04             53.53         100             35.81             38.83             44.41
65536                  66.37             34.07             99.17         100             66.74             70.91             72.76
131072                126.20             63.56            186.32         100            126.28            133.04            136.39
262144                227.09            113.00            345.15         100            228.86            245.30            249.71
524288                459.73            237.22            696.26         100            463.60            479.67            482.63
1048576               475.40            438.64            521.26         100            473.90            491.73            509.50


Procs: 28

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.99              0.46              1.99        1000              0.98              1.13              1.32
2                       1.00              0.48              2.03        1000              0.98              1.12              1.51
4                       0.98              0.46              1.99        1000              0.98              1.13              1.37
8                       0.98              0.48              1.99        1000              0.97              1.12              1.41
16                      1.00              0.47              2.02        1000              0.98              1.13              1.29
32                      1.37              0.79              2.62        1000              1.34              1.60              1.74
64                      1.34              0.68              2.42        1000              1.31              1.48              1.60
128                     2.21              1.31              3.86        1000              2.17              2.37              3.20
256                     2.30              1.28              3.95        1000              2.27              2.46              2.95
512                     2.55              1.53              4.26        1000              2.51              2.70              3.13
1024                    3.28              1.88              5.19        1000              3.25              3.50              4.26
2048                    4.49              2.60              6.89        1000              4.46              4.71              5.51
4096                    6.38              2.84             10.05        1000              6.33              6.78              9.02
8192                   10.27              5.71             15.37        1000             10.25             10.71             11.96
16384                  20.68             10.15             32.24         100             20.37             23.74             27.60
32768                  36.61             17.52             54.73         100             36.41             41.20             41.80
65536                  66.81             32.41             98.79         100             66.89             71.51             73.51
131072                126.93             61.66            184.97         100            127.07            134.72            139.48
262144                245.49            119.93            357.17         100            245.18            254.86            261.37
524288                471.74            229.38            689.03         100            470.47            486.88            494.85
1048576               487.89            435.54            534.40         100            483.38            516.40            546.32

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.02              0.51              2.04        1000              1.00              1.15              1.34
2                       1.10              0.58              2.12        1000              0.98              1.14              1.33
4                       1.00              0.52              2.00        1000              0.99              1.15              1.29
8                       1.48              0.63              2.96        1000              0.99              1.14              1.47
16                      1.00              0.48              2.02        1000              0.99              1.14              1.25
32                      1.42              0.79              2.56        1000              1.39              1.63              1.80
64                      1.40              0.72              2.51        1000              1.35              1.53              1.99
128                     2.19              1.29              3.88        1000              2.17              2.37              2.90
256                     2.29              1.26              3.93        1000              2.26              2.44              3.07
512                     2.56              1.51              4.24        1000              2.51              2.72              3.94
1024                    3.28              1.93              5.17        1000              3.24              3.48              4.50
2048                    4.60              2.81              7.02        1000              4.57              4.84              5.66
4096                    6.65              3.22             10.27        1000              6.59              7.10              8.99
8192                    9.93              5.22             15.40        1000              9.93             10.31             10.79
16384                  20.75              9.85             32.30         100             20.52             24.02             25.96
32768                  36.16             17.53             54.50         100             36.27             40.86             45.26
65536                  66.91             32.02             98.87         100             67.64             71.16             72.78
131072                127.56             60.41            184.41         100            127.18            134.98            140.72
262144                248.23            120.30            357.70         100            248.11            257.36            260.00
524288                475.92            235.68            675.60         100            474.99            492.91            501.99
1048576               486.56            438.29            534.28         100            482.99            513.28            531.22

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.03              0.53              2.08        1000              1.00              1.18              1.64
2                       1.02              0.49              2.09        1000              1.00              1.15              1.32
4                       1.02              0.50              2.10        1000              1.01              1.18              1.36
8                       1.01              0.49              2.08        1000              0.99              1.16              1.40
16                      1.01              0.49              2.10        1000              1.00              1.15              1.30
32                      1.41              0.70              2.65        1000              1.37              1.62              1.93
64                      1.34              0.63              2.48        1000              1.32              1.50              1.64
