Test	Processes	Size		Total		Communication	Sorting		Merging
1	1		100000		0.009789	0.000000	0.000000	0.009789
1	2		200000		0.028859	0.006669	0.009654	0.012535
1	4		400000		0.061269	0.015654	0.009582	0.036034
1	8		800000		0.118082	0.028025	0.009580	0.080477
1	16		1600000		0.243640	0.057264	0.009976	0.176400
1	32		3200000		0.470925	0.098118	0.009796	0.363011
1	64		6400000		0.988145	0.197473	0.009536	0.781136
1	128		12800000	2.250183	0.432914	0.010659	1.806610
