
Algorithm: 1

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.18              0.07              0.29        1000              0.17              0.25              0.29
4                       0.17              0.07              0.26        1000              0.16              0.23              0.26
8                       0.18              0.07              0.30        1000              0.17              0.24              0.29
16                      0.17              0.07              0.27        1000              0.16              0.23              0.26
32                      0.21              0.08              0.34        1000              0.20              0.31              0.35
64                      0.22              0.08              0.37        1000              0.20              0.30              0.35
128                     0.28              0.11              0.45        1000              0.27              0.32              0.34
256                     0.29              0.13              0.45        1000              0.27              0.35              0.41
512                     0.32              0.12              0.51        1000              0.30              0.36              0.39
1024                    0.36              0.13              0.60        1000              0.35              0.40              0.43
2048                    0.49              0.15              0.82        1000              0.48              0.52              0.58
4096                    0.76              0.30              1.22        1000              0.73              0.79              0.82
8192                    1.23              0.54              1.92        1000              1.20              1.30              1.33
16384                   3.27              2.18              4.36         100              2.27              6.64              8.25
32768                   4.13              3.03              5.24         100              3.96              4.13              4.16
65536                   7.36              5.85              8.86         100              7.35              7.49              7.52
131072                 13.86             11.76             15.96         100             13.83             14.05             14.08
262144                 18.87             15.51             22.22         100             18.70             18.89             23.75
524288                 50.58             38.13             63.03         100             50.32             52.89             55.28
1048576               124.95             86.46            163.45         100            124.08            129.29            132.21

Procs: 4

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.55              0.29              1.21        1000              0.52              0.73              0.88
2                       0.54              0.29              1.21        1000              0.51              0.73              0.82
4                       0.54              0.29              1.20        1000              0.50              0.72              0.83
8                       0.54              0.28              1.19        1000              0.50              0.70              0.84
16                      0.54              0.28              1.20        1000              0.50              0.72              0.86
32                      0.61              0.28              1.54        1000              0.58              0.81              0.93
64                      0.56              0.27              1.36        1000              0.53              0.72              0.85
128                     0.86              0.38              2.29        1000              0.84              0.99              1.21
256                     0.87              0.37              2.32        1000              0.85              1.01              1.13
512                     0.93              0.36              2.56        1000              0.90              1.07              1.20
1024                    1.05              0.38              3.00        1000              1.02              1.19              1.38
2048                    1.38              0.44              3.93        1000              1.35              1.52              1.67
4096                    1.94              0.57              5.21        1000              1.88              2.14              3.35
8192                    3.10              0.83              8.04        1000              3.05              3.44              3.76
16384                   6.30              2.04             13.94         100              6.16              7.76              8.88
32768                  11.82              4.18             23.80         100             11.64             13.20             15.42
65536                  22.04              8.12             42.50         100             21.90             22.97             25.87
131072                 40.98             15.53             78.65         100             40.73             42.90             44.96
262144                 63.37             24.19             97.81         100             62.99             66.08             69.87
524288                141.30             46.38            236.68         100            140.40            145.97            147.41
1048576               320.25            108.46            554.22         100            319.50            325.05            326.06

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.58              0.32              1.26        1000              0.56              0.75              0.85
2                       0.58              0.32              1.24        1000              0.55              0.74              0.88
4                       0.58              0.33              1.26        1000              0.55              0.75              0.90
8                       0.58              0.32              1.31        1000              0.56              0.74              0.84
16                      0.56              0.30              1.23        1000              0.53              0.71              0.84
32                      0.63              0.30              1.55        1000              0.60              0.83              1.01
64                      0.59              0.30              1.38        1000              0.56              0.77              0.96
128                     0.87              0.37              2.28        1000              0.84              1.04              1.98
256                     0.87              0.37              2.30        1000              0.86              1.03              1.14
512                     0.95              0.37              2.59        1000              0.92              1.11              1.31
1024                    1.07              0.38              3.05        1000              1.04              1.23              1.41
2048                    1.41              0.44              4.03        1000              1.37              1.55              1.66
4096                    1.95              0.58              5.26        1000              1.92              2.17              2.44
8192                    3.13              0.85              8.10        1000              3.07              3.45              4.37
16384                   6.28              2.08             13.86         100              6.14              7.18              8.33
32768                  11.80              4.22             23.79         100             11.69             12.65             14.07
65536                  22.01              8.19             42.54         100             21.88             23.44             24.84
131072                 41.27             15.59             79.60         100             41.00             43.58             46.33
262144                 62.89             23.53             98.33         100             62.68             65.11             66.18
524288                141.97             47.42            237.16         100            141.35            146.15            147.05
1048576               315.86            107.34            547.30         100            314.84            320.13            326.48

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.59              0.32              1.27        1000              0.56              0.74              0.84
2                       0.54              0.31              1.23        1000              0.51              0.70              0.81
4                       0.55              0.31              1.23        1000              0.52              0.72              0.88
8                       0.57              0.31              1.29        1000              0.54              0.71              0.84
16                      0.54              0.30              1.21        1000              0.51              0.69              0.81
32                      0.62              0.30              1.54        1000              0.59              0.83              0.96
64                      0.57              0.29              1.37        1000              0.55              0.74              0.88
128                     0.90              0.39              2.36        1000              0.86              1.04              2.11
256                     0.89              0.39              2.34        1000              0.87              1.05              1.20
512                     0.95              0.39              2.59        1000              0.92              1.10              1.42
1024                    1.08              0.40              3.07        1000              1.05              1.24              1.44
2048                    1.41              0.46              4.03        1000              1.38              1.56              1.72
4096                    1.97              0.59              5.33        1000              1.93              2.19              3.11
8192                    3.16              0.85              8.20        1000              3.10              3.51              4.75
16384                   6.40              2.11             14.15         100              6.28              7.20              8.47
32768                  11.88              4.19             23.99         100             11.79             13.16             13.97
65536                  22.19              8.24             43.19         100             21.98             23.23             27.07
131072                 41.39             15.60             80.26         100             41.21             44.00             45.81
262144                 63.50             23.76             98.94         100             63.21             64.53             68.81
524288                142.99             47.56            239.86         100            142.09            146.80            150.18
1048576               316.19            108.27            547.46         100            315.89            320.11            320.64

Test: 4
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.65              0.34              1.38        1000              0.65              0.82              0.91
2                       0.64              0.34              1.37        1000              0.63              0.80              0.89
4                       0.63              0.32              1.34        1000              0.63              0.78              0.88
8                       0.63              0.32              1.38        1000              0.62              0.81              0.90
16                      0.61              0.32              1.31        1000              0.59              0.76              0.87
32                      0.64              0.29              1.62        1000              0.62              0.83              0.97
