
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     8.96              0.51             16.30       50000              8.81              9.65             11.00
512                     9.56              0.51             17.40       50000              9.56             10.10             11.60
1024                   11.32              0.54             20.91       50000             11.23             12.04             13.48
2048                   14.35              0.62             26.36       50000             14.29             14.90             17.00
4096                   19.90              0.94             37.15       50000             19.79             20.57             22.97
8192                   30.94              1.20             58.55       50000             30.82             31.84             34.31
16384                  48.20              2.04             91.18       50000             48.03             50.01             51.83
32768                  78.83              3.63            149.15       50000             78.55             81.21             82.60
65536                 134.81              6.84            254.33       50000            134.35            137.62            138.83
131072                244.76             13.28            460.41       50000            244.14            247.28            248.56
262144                707.60             34.17           1316.49       50000            707.31            718.93            724.28
