
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                    43.63              0.19             87.87       50000             42.92             45.40             47.60
512                    46.01              0.22             92.18       50000             45.62             47.97             50.15
1024                   51.21              0.26            102.99       50000             50.83             53.51             55.50
2048                   71.45              0.37            142.53       50000             70.97             73.91             75.77
4096                   97.11              0.51            193.93       50000             96.72             99.62            102.03
8192                  134.88              0.66            268.21       50000            134.81            138.22            141.27
16384                 177.52              1.19            350.64       50000            177.36            182.31            184.77
32768                 249.34              2.18            491.62       50000            248.87            256.02            259.00
65536                 404.12              4.34            798.91       50000            402.84            425.63            435.75
131072                783.82              9.06           1536.37       50000            779.38            820.63            837.11
262144               1334.52             30.91           2596.16       50000           1333.60           1345.12           1350.95
