
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     1.05              0.16              5.08      100000              1.02              1.18              1.35
512                     1.11              0.16              5.33      100000              1.09              1.25              1.42
1024                    1.27              0.17              6.10      100000              1.23              1.38              1.57
2048                    1.69              0.20              8.06      100000              1.67              1.80              2.04
4096                    2.53              0.59             11.63      100000              2.49              2.67              3.07
8192                    3.80              0.87             17.42      100000              3.77              3.96              4.55
16384                   6.27              1.77             27.15      100000              6.23              6.46              7.34
32768                  11.10              3.40             46.46      100000             11.03             11.42             12.48
65536                  19.68              6.66             78.20      100000             19.59             20.14             21.29
131072                 36.36             11.88            142.92      100000             36.20             37.32             38.33
