Algorithm,Numprocs,Size,Avg Latency(us) mean,Avg Latency(us) sd
0,128,2,3.572,0.0735935
0,128,4,3.714,0.0553534
0,128,8,3.552,0.0256125
0,128,16,3.562,0.049558
3,128,2,55.158,3.42154
3,128,4,56.364,3.26531
3,128,8,56.334,3.34903
3,128,16,57.6,3.51941
