
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 8
Mapping: core
Warmup: 200
--------------------------------------------

Iterations: 10000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       4.54              0.28              8.53       10000              4.46              4.93              6.56
2                       1.64              0.61              2.01       10000              1.61              1.92              2.28
4                       1.66              0.62              2.01       10000              1.62              1.94              2.28
8                       1.65              0.62              2.01       10000              1.61              1.96              2.33
16                      1.63              0.60              2.00       10000              1.60              1.91              2.29
32                      1.66              0.60              2.04       10000              1.60              1.96              2.29
64                      2.45              0.80              3.18       10000              2.30              3.31              3.75
128                     2.37              0.76              2.93       10000              2.22              2.80              3.23
256                     3.74              1.36              4.56       10000              3.35              3.68              4.64
512                     3.52              1.41              4.23       10000              3.49              3.83              4.10
1024                    3.91              1.43              4.72       10000              3.86              4.35              4.72
2048                    4.79              1.58              5.69       10000              4.74              5.26              5.70
4096                    6.60              2.92              7.78       10000              6.58              7.03              7.38
8192                    9.10              3.83             10.55       10000              9.10              9.62             11.51
16384                  14.31              6.14             16.77       10000             14.29             14.85             17.56
32768                  24.84             12.40             28.72       10000             24.75             25.57             28.38
65536                  45.15             23.03             53.35       10000             44.94             46.76             49.25
131072                 85.14             47.43             98.11       10000             84.80             88.73             90.21
262144                168.11             95.57            195.29       10000            167.60            171.93            173.40
524288                433.66            307.52            538.90       10000            430.99            444.48            447.03
1048576               815.86            616.88            996.02       10000            815.41            821.57            828.53

Iterations: 20000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       4.39              0.26              8.26       20000              4.32              4.80              5.52
2                       1.59              0.58              1.95       20000              1.56              1.84              2.10
4                       1.59              0.57              1.95       20000              1.55              1.84              2.13
8                       1.59              0.58              1.95       20000              1.56              1.83              2.12
16                      1.93              0.57              2.33       20000              1.55              1.86              2.59
32                      1.59              0.58              1.96       20000              1.55              1.85              2.18
64                      2.40              0.75              2.96       20000              2.29              3.19              3.66
