Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
0,2,1048576,78.642,1.7846635537265845
0,4,1048576,513.892,1.7214249911047552
0,6,1048576,920.974,1.2073342536348406
0,8,1048576,616.7760000000001,16.26242743258214
0,10,1048576,740.118,14.727134616075189
0,12,1048576,865.134,40.94721182205206
0,14,1048576,1061.672,15.283467996498704
0,16,1048576,357.80000000000007,1.322433363160498
0,18,1048576,517.27,1.12620158053521
0,20,1048576,514.318,2.3133707009469897
0,22,1048576,488.244,2.0928965574055507
0,24,1048576,473.758,1.3517226046789372
2,2,1048576,76.9,1.7424838593226628
2,4,1048576,332.21000000000004,7.568471444089616
2,6,1048576,531.316,9.523998425031376
2,8,1048576,566.8,9.209979370226629
2,10,1048576,828.558,12.54175840940974
2,12,1048576,961.644,12.53712949602101
2,14,1048576,1053.6699999999998,13.842206471513125
2,16,1048576,1059.7779999999998,3.1959183343758824
2,18,1048576,1205.8919999999998,11.431782625645033
2,20,1048576,1370.696,6.2233412247762985
2,22,1048576,1447.8960000000002,9.091468858220866
2,24,1048576,1426.656,6.809378532582846
3,2,1048576,86.67999999999999,1.0489375577220976
3,4,1048576,521.48,2.5710950974244504
3,6,1048576,947.034,1.2973457519104226
3,8,1048576,1283.576,4.629434738712715
3,10,1048576,1589.2779999999998,2.757679096631804
3,12,1048576,1923.408,4.320808257722174
3,14,1048576,2251.572,5.267909832181961
3,16,1048576,2562.7760000000003,5.195728630327019
3,18,1048576,2864.6780000000003,7.202594949044346
3,20,1048576,3171.408,1.5942440214722922
3,22,1048576,3478.978,3.808789046403085
3,24,1048576,3786.362,3.534347747463428
5,2,1048576,68.072,0.4517787068908849
5,4,1048576,264.182,6.029526847108324
5,6,1048576,380.678,2.144969463652106
5,8,1048576,443.7099999999999,2.8867351800953283
5,10,1048576,507.296,2.003241373374665
5,12,1048576,555.764,1.5055118730850252
5,14,1048576,587.386,5.411773831194347
5,16,1048576,619.03,3.245516907982452
5,18,1048576,656.066,3.85054359798717
5,20,1048576,690.226,4.539894932704924
5,22,1048576,728.016,4.128988495987853
5,24,1048576,736.1539999999999,2.8404693274175643
-1,2,1048576,70.98,0
-1,3,1048576,141.3,0
-1,4,1048576,212.61,0
-1,5,1048576,282.08000000000004,0
-1,6,1048576,351.23,0
-1,7,1048576,420.95000000000005,0
-1,8,1048576,489.99000000000007,0
-1,9,1048576,558.8900000000001,0
-1,10,1048576,627.2,0
-1,11,1048576,695.3800000000001,0
-1,12,1048576,772.5400000000001,0
-1,13,1048576,843.8800000000001,0
-1,14,1048576,914.6700000000001,0
-1,15,1048576,984.3800000000001,0
-1,16,1048576,1055.65,0
-1,17,1048576,1125.19,0
-1,18,1048576,1196.42,0
-1,19,1048576,1266.01,0
-1,20,1048576,1336.59,0
-1,21,1048576,1406.8,0
-1,22,1048576,1476.98,0
-1,23,1048576,1546.68,0
-1,24,1048576,1618.38,0
