Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
2,2,1,0.264,0.008124038404635967
2,2,2,0.272,0.007999999999999993
2,2,4,0.252,0.009165151389911681
2,2,8,0.256,0.008124038404635962
2,2,16,0.258,0.01113552872566005
2,2,32,0.31,0.01
2,2,64,0.298,0.011575836902790227
2,2,128,0.372,0.008602325267042634
2,2,256,0.39,0.014832396974191316
2,2,512,0.43600000000000005,0.009273618495495711
2,2,1024,0.5,0.015811388300841903
2,2,2048,0.634,0.009273618495495711
2,2,4096,0.966,0.02111871208194287
2,2,8192,1.5,0.033166247903554026
2,2,16384,3.7299999999999995,0.10246950765959593
2,2,32768,6.218000000000001,0.12431411826498216
2,2,65536,8.202000000000002,0.18935152494764854
2,2,131072,12.218,0.24230971916124214
2,2,262144,20.080000000000002,0.3689579921888131
2,2,524288,37.818,0.7318633752279166
2,2,1048576,76.9,1.7424838593226628
2,4,1,0.66,0.01140175425099137
2,4,2,0.664,0.00509901951359279
2,4,4,0.65,0.005477225575051666
2,4,8,0.632,0.0058309518948453055
2,4,16,0.612,0.0073484692283495405
2,4,32,0.76,0.003162277660168382
2,4,64,0.6839999999999999,0.006782329983125252
2,4,128,1.338,0.0020000000000000018
2,4,256,1.388,0.008602325267042597
2,4,512,1.598,0.01743559577416268
2,4,1024,1.924,0.00979795897113272
2,4,2048,2.71,0.013038404810405257
2,4,4096,3.8259999999999996,0.03140063693621521
2,4,8192,6.081999999999999,0.021771541057077327
2,4,16384,9.058,0.1684755175092218
2,4,32768,13.836000000000002,0.29256794082742527
2,4,65536,22.741999999999997,0.5589490137749595
2,4,131072,41.174,0.7165793745287401
2,4,262144,82.348,1.389958272754976
2,4,524288,169.05,1.5065191668213156
2,4,1048576,332.21000000000004,7.568471444089616
2,6,1,1.1260000000000001,0.009273618495495666
2,6,2,1.136,0.014352700094407303
2,6,4,1.104,0.02379075450674062
2,6,8,1.044,0.018055470085267804
2,6,16,0.97,0.009486832980505146
2,6,32,1.2399999999999998,0.010000000000000009
2,6,64,1.148,0.013928388277184109
2,6,128,2.0759999999999996,0.011661903789690576
2,6,256,2.118,0.005830951894845275
2,6,512,2.372,0.00916515138991168
2,6,1024,2.8980000000000006,0.0058309518948452595
2,6,2048,3.818,0.008602325267042653
