Algorithm,Numprocs,Size,Avg Latency(us) mean,Avg Latency(us) sd
0,2,2,0.16,0
0,2,4,0.15,0
0,2,8,0.14,0
0,2,16,0.15,0
0,4,2,0.58,0
0,4,4,0.56,0
0,4,8,0.57,0
0,4,16,0.56,0
0,8,2,1.57,0
0,8,4,1.58,0
0,8,8,1.68,0
0,8,16,1.73,0
0,16,2,1.99,0
0,16,4,1.86,0
0,16,8,1.93,0
0,16,16,1.85,0
0,32,2,2.25,0
0,32,4,2.21,0
0,32,8,2.23,0
0,32,16,3.24,0
0,64,2,2.07,0
0,64,4,2.07,0
0,64,8,2.04,0
0,64,16,2.05,0
0,128,2,3.74,0
0,128,4,3.64,0
0,128,8,3.55,0
0,128,16,3.55,0
