Test	Processes	Size		Total		Communication	Sorting		Merging
1	1		100000		0.015756	0.000000	0.000000	0.015756
1	2		200000		0.031328	0.008020	0.010304	0.013004
1	4		400000		0.077727	0.024242	0.015777	0.037708
1	8		800000		0.120697	0.030622	0.009532	0.080543
1	16		1600000		0.235180	0.052090	0.009583	0.173508
1	32		3200000		0.464844	0.094328	0.009620	0.360895
1	64		6400000		0.985542	0.187761	0.009544	0.788238
1	128		12800000	2.220160	0.413378	0.010520	1.796262
1	256		25600000	4.514481	1.220048	0.011767	3.282666
