1,2.109349
2,1.380016
3,1.525847
4,1.399307
5,1.168318
6,0.619359
7,0.512488
8,0.501560
1,1.921666
2,0.927649
3,0.818221
4,0.830313
5,0.702215
6,0.654098
7,0.721396
8,0.765913
1,3.061037
2,1.666367
3,1.152314
4,1.069700
5,1.016771
6,0.836386
7,0.596654
8,0.681471
1,3.188967
2,2.011930
3,1.713309
4,1.315736
5,0.653501
6,0.574299
7,0.338323
8,0.332362
1,2.366218
2,1.328428
3,1.044350
4,0.823524
5,0.724420
6,0.758526
7,0.745034
8,0.703084
1,2.918714
2,1.588230
3,1.229489
4,0.986626
5,0.715381
6,0.624245
7,0.580193
8,0.857667
1,3.601953
2,2.539178
3,1.592057
4,0.819890
5,0.647028
6,0.404331
7,0.379717
8,0.354082
1,2.266872
2,1.496914
3,1.022447
4,0.853495
5,0.774064
6,0.726200
7,0.712672
8,0.717795
1,2.945470
2,1.655798
3,1.375920
4,1.077154
5,1.038274
6,0.967938
7,0.591269
8,0.568243
1,3.097801
2,2.270779
3,0.783545
4,0.640488
5,0.624039
6,0.545842
7,0.503057
8,0.460355
