
Algorithm: 3

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.25              0.10              0.40        1000              0.25              0.31              0.36
4                       0.26              0.10              0.42        1000              0.25              0.31              0.35
8                       0.26              0.10              0.42        1000              0.25              0.32              0.36
16                      0.26              0.10              0.41        1000              0.25              0.32              0.36
32                      0.29              0.10              0.47        1000              0.27              0.38              0.44
64                      0.28              0.10              0.46        1000              0.26              0.37              0.43
128                     0.32              0.13              0.50        1000              0.31              0.36              0.39
256                     0.34              0.14              0.54        1000              0.32              0.40              0.46
512                     0.38              0.14              0.62        1000              0.36              0.44              0.48
1024                    0.42              0.15              0.69        1000              0.41              0.46              0.50
2048                    0.56              0.18              0.94        1000              0.55              0.60              0.61
4096                    0.86              0.33              1.38        1000              0.84              0.91              0.96
8192                    1.39              0.61              2.17        1000              1.36              1.44              1.49
16384                   3.74              2.45              5.04         100              2.59              7.42              7.65
32768                   4.59              3.33              5.84         100              4.45              4.57              4.70
65536                   8.29              6.57             10.02         100              8.25              8.41              8.47
131072                 15.84             13.26             18.42         100             15.54             16.36             19.76
262144                 23.36             17.54             29.17         100             23.23             23.61             28.50
524288                 57.62             41.50             73.74         100             57.25             60.55             62.94
1048576               135.22             90.87            179.56         100            134.58            139.36            140.79

Procs: 4

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.17              0.24              1.96        1000              1.14              1.30              1.39
2                       1.18              0.25              1.97        1000              1.14              1.29              1.41
4                       1.18              0.24              1.96        1000              1.15              1.32              1.48
8                       1.18              0.25              1.97        1000              1.15              1.32              1.53
16                      1.17              0.24              1.97        1000              1.14              1.32              1.45
32                      1.57              0.25              2.77        1000              1.51              1.95              2.35
64                      1.47              0.25              2.57        1000              1.45              1.70              1.88
128                     2.28              0.34              3.98        1000              2.24              2.49              2.68
256                     2.39              0.35              4.07        1000              2.35              2.63              2.90
512                     2.69              0.36              4.61        1000              2.64              2.98              3.31
1024                    3.00              0.38              5.08        1000              2.97              3.35              3.50
2048                    4.37              0.54              6.96        1000              4.38              4.84              5.16
4096                    5.82              1.04              9.20        1000              5.83              6.50              6.79
8192                    9.20              1.78             14.60        1000              9.17              9.66             11.36
16384                  18.68              5.67             28.26         100             15.81             28.02             41.26
32768                  28.18             10.20             40.42         100             28.12             29.19             31.73
65536                  52.58             20.54             73.71         100             52.41             54.06             57.90
131072                100.75             39.18            137.66         100            100.43            105.15            105.59
262144                296.44            185.31            350.22         100            293.65            303.06            368.14
524288                773.06            350.76            968.72         100            770.60            787.21            824.35
1048576              1500.33            685.06           1873.62         100           1506.23           1551.44           1563.15

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.21              0.27              2.01        1000              1.18              1.37              1.49
2                       1.22              0.27              2.02        1000              1.18              1.36              1.50
4                       1.22              0.26              2.02        1000              1.18              1.40              1.55
8                       1.22              0.25              2.03        1000              1.19              1.38              1.58
16                      1.20              0.25              1.99        1000              1.17              1.36              1.45
