
Operation: bcast
Node: thin

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 2
Iterations: 10000
Warmup: 1000
--------------------------------------------

Mapping: core
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
256                     0.51              0.25              0.77       10000
512                     0.79              0.65              0.93       10000
1024                    0.84              0.71              0.96       10000
2048                    1.11              1.00              1.22       10000
4096                    3.49              3.39              3.59       10000
8192                    4.25              4.14              4.35       10000
16384                   5.86              5.75              5.97       10000
32768                   8.52              8.41              8.62       10000
65536                  15.76             15.63             15.89       10000
131072                 30.20             30.05             30.34       10000
262144                 64.38             64.37             64.40       10000
524288                131.42            131.27            131.57       10000
1048576               252.79            252.62            252.96       10000

Mapping: socket
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.41              0.29              0.54       10000
2                       0.49              0.37              0.62       10000
4                       0.47              0.35              0.59       10000
8                       0.50              0.25              0.75       10000
16                      0.42              0.18              0.66       10000
32                      0.48              0.25              0.70       10000
64                      0.43              0.19              0.67       10000
128                     0.58              0.31              0.85       10000
256                     0.52              0.25              0.78       10000
512                     0.79              0.67              0.92       10000
1024                    0.91              0.80              1.02       10000
2048                    1.11              1.02              1.20       10000
4096                    3.62              3.50              3.73       10000
8192                    4.44              4.40              4.47       10000
16384                   5.94              5.85              6.03       10000
32768                   8.87              8.82              8.93       10000
65536                  15.82             15.73             15.91       10000
131072                 30.06             29.74             30.38       10000
262144                 52.12             52.04             52.21       10000
524288                109.37            108.75            110.00       10000
1048576               260.46            260.26            260.67       10000

-------------------------------------------
