
Algorithm: 0

Procs: 2

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.47              0.40              0.54        1000              0.45              0.57              0.62
4                       0.43              0.36              0.50        1000              0.41              0.52              0.59
8                       0.21              0.09              0.32        1000              0.20              0.27              0.32
16                      0.23              0.09              0.37        1000              0.22              0.29              0.35
32                      0.22              0.09              0.35        1000              0.21              0.29              0.32
64                      0.22              0.08              0.36        1000              0.22              0.27              0.30
128                     0.27              0.11              0.44        1000              0.26              0.33              0.36
256                     0.29              0.12              0.46        1000              0.27              0.34              0.38
512                     0.33              0.12              0.53        1000              0.31              0.39              0.44
1024                    0.38              0.14              0.61        1000              0.35              0.43              0.45
2048                    0.49              0.16              0.82        1000              0.48              0.56              0.60
4096                    0.76              0.29              1.23        1000              0.74              0.81              0.84
8192                    1.21              0.53              1.89        1000              1.19              1.28              1.30
16384                   3.21              2.12              4.30         100              2.25              6.72              7.09
32768                   4.05              2.95              5.15         100              3.94              4.03              4.06
65536                   7.32              5.81              8.83         100              7.31              7.44              7.49
131072                 13.81             11.71             15.91         100             13.76             13.93             14.09
262144                 18.82             15.30             22.33         100             18.68             19.03             22.08
524288                 51.89             38.49             65.29         100             51.57             54.74             59.53
1048576               124.75             86.05            163.46         100            123.92            128.05            132.02

Procs: 4

Test: 1
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.85              0.28              1.55        1000              0.81              1.01              1.13
2                       0.85              0.28              1.55        1000              0.81              1.00              1.15
4                       0.87              0.30              1.58        1000              0.81              1.00              1.10
8                       0.85              0.27              1.53        1000              0.80              1.00              1.16
16                      0.83              0.27              1.50        1000              0.79              0.97              1.10
32                      1.01              0.27              1.91        1000              0.95              1.35              1.56
64                      0.96              0.27              1.77        1000              0.91              1.17              1.41
128                     1.30              0.36              2.39        1000              1.25              1.47              2.39
256                     1.34              0.38              2.43        1000              1.30              1.52              1.67
512                     1.44              0.37              2.67        1000              1.39              1.65              1.84
1024                    1.62              0.39              3.01        1000              1.57              1.85              2.09
2048                    2.13              0.56              3.91        1000              2.09              2.37              2.54
4096                    4.06              0.62              6.29        1000              4.01              4.38              4.66
8192                    6.03              0.85              9.52        1000              6.00              6.39              8.38
16384                  11.29              1.95             17.31         100              9.76             17.24             22.50
32768                  17.00              3.45             25.21         100             16.65             19.43             23.08
65536                  17.82              6.58             30.97         100             17.73             18.57             19.70
131072                 54.60             12.33            135.13         100             54.42             56.38             58.52
262144                 64.77             25.18            100.09         100             63.47             69.03             75.51
524288                467.74             62.84            750.72         100            467.07            474.85            491.46
1048576               312.90            107.01            542.86         100            311.67            316.96            339.64

Test: 2
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.84              0.26              1.54        1000              0.81              0.97              1.06
2                       0.85              0.26              1.57        1000              0.81              0.97              1.05
4                       0.84              0.26              1.54        1000              0.81              0.98              1.06
8                       0.84              0.26              1.53        1000              0.81              0.97              1.08
16                      0.83              0.25              1.52        1000              0.80              0.96              1.06
32                      0.97              0.26              1.81        1000              0.94              1.19              1.34
64                      0.95              0.26              1.77        1000              0.91              1.12              1.24
128                     1.31              0.37              2.42        1000              1.25              1.46              2.60
256                     1.34              0.39              2.44        1000              1.30              1.50              1.77
512                     1.44              0.36              2.66        1000              1.40              1.61              1.78
1024                    1.64              0.39              3.06        1000              1.59              1.85              2.15
2048                    2.15              0.54              3.94        1000              2.12              2.40              2.61
4096                    3.98              0.57              6.21        1000              3.93              4.38              4.61
8192                    5.99              0.85              9.49        1000              5.97              6.34              6.78
16384                  11.18              1.90             17.31         100              9.81             16.85             18.00
32768                  17.03              3.44             25.21         100             16.84             19.17             22.76
65536                  17.83              6.68             31.03         100             17.66             18.23             19.82
131072                 54.44             12.00            135.58         100             54.03             57.64             58.87
262144                 63.17             23.94             97.85         100             62.31             69.55             81.51
524288                462.65             58.72            743.35         100            461.76            472.03            488.56
1048576               318.35            107.67            550.61         100            317.40            322.26            329.61

Test: 3
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.82              0.26              1.48        1000              0.80              0.95              1.03
2                       0.85              0.26              1.59        1000              0.80              0.97              1.10
4                       0.83              0.26              1.50        1000              0.80              0.96              1.09
8                       0.83              0.27              1.50        1000              0.80              0.97              1.11
16                      0.82              0.26              1.49        1000              0.79              0.96              1.05
32                      0.96              0.27              1.80        1000              0.91              1.26              1.47
64                      0.92              0.27              1.70        1000              0.88              1.10              1.23
128                     1.30              0.37              2.38        1000              1.24              1.44              2.39
256                     1.31              0.37              2.40        1000              1.27              1.49              1.58
512                     1.43              0.38              2.65        1000              1.39              1.62              1.79
1024                    1.60              0.40              3.00        1000              1.56              1.79              2.00
2048                    2.14              0.57              3.91        1000              2.11              2.36              2.58
4096                    4.02              0.59              6.26        1000              3.97              4.41              4.67
8192                    6.04              0.89              9.55        1000              6.00              6.41              6.75
16384                  10.99              1.86             17.10         100              9.76             16.47             19.26
32768                  17.02              3.44             25.21         100             16.78             20.20             22.85
65536                  17.72              6.51             31.04         100             17.64             18.23             19.07
131072                 54.59             11.78            136.37         100             54.35             57.95             58.59
262144                 64.45             24.04            103.70         100             63.73             67.51             80.50
524288                467.18             70.62            746.97         100            466.07            474.93            497.95
1048576               315.30            107.01            548.98         100            314.30            318.87            324.28

Test: 4
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.02              0.36              1.85        1000              0.98              1.18              1.28
2                       1.01              0.35              1.84        1000              0.99              1.15              1.29
4                       1.02              0.35              1.85        1000              0.97              1.18              1.40
8                       0.99              0.35              1.79        1000              0.95              1.13              1.23
16                      0.97              0.33              1.76        1000              0.93              1.12              1.31
32                      1.12              0.33              2.11        1000              1.07              1.41              1.57
64                      1.06              0.32              1.95        1000              1.02              1.21              1.38
128                     1.48              0.42              2.71        1000              1.43              1.65              2.83
256                     1.44              0.42              2.64        1000              1.40              1.60              1.78
512                     1.55              0.43              2.88        1000              1.50              1.74              1.90
1024                    1.71              0.42              3.22        1000              1.67              1.92              2.12
2048                    2.26              0.60              4.13        1000              2.22              2.49              2.68
4096                    4.28              0.63              6.68        1000              4.22              4.64              6.50
8192                    6.23              0.89              9.81        1000              6.15              6.62              9.34
16384                  11.47              2.05             17.56         100              9.94             16.65             23.84
32768                  17.19              3.41             25.42         100             16.93             18.97             22.85
65536                  17.74              6.52             30.84         100             17.60             18.21             20.22
131072                 37.58             12.57             62.62         100             37.39             39.69             40.92
262144                 62.74             24.20             96.58         100             62.38             65.30             68.26
524288                458.73             66.69            737.24         100            453.02            481.30            545.12
1048576               320.15            111.66            553.72         100            318.93            323.12            325.43

Test: 5
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.83              0.28              1.48        1000              0.80              0.97              1.05
2                       0.85              0.28              1.50        1000              0.82              1.01              1.08
4                       0.85              0.28              1.51        1000              0.82              0.99              1.10
8                       0.86              0.27              1.52        1000              0.82              1.00              1.12
16                      0.85              0.27              1.52        1000              0.81              0.98              1.09
32                      0.99              0.27              1.85        1000              0.95              1.36              1.53
64                      0.96              0.26              1.75        1000              0.91              1.13              1.41
128                     1.36              0.37              2.49        1000              1.31              1.51              2.51
