
Algorithm: 5

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.25              0.14              0.36        1000              0.24              0.32              0.34
4                       0.21              0.12              0.31        1000              0.20              0.29              0.31
8                       0.25              0.14              0.35        1000              0.24              0.32              0.34
16                      0.21              0.12              0.30        1000              0.20              0.29              0.32
32                      0.29              0.14              0.45        1000              0.28              0.40              0.45
64                      0.26              0.12              0.40        1000              0.25              0.32              0.36
128                     0.34              0.17              0.51        1000              0.34              0.40              0.43
256                     0.34              0.17              0.51        1000              0.33              0.43              0.46
512                     0.40              0.19              0.61        1000              0.40              0.46              0.50
1024                    0.45              0.22              0.68        1000              0.44              0.53              0.55
2048                    0.61              0.28              0.95        1000              0.60              0.70              0.78
4096                    0.90              0.41              1.40        1000              0.88              0.98              1.03
8192                    1.49              0.68              2.31        1000              1.33              1.60              1.68
16384                   3.20              3.15              3.25         100              3.20              3.32              3.34
32768                   5.32              5.20              5.44         100              5.26              5.42              5.50
65536                   7.04              6.89              7.19         100              6.96              7.14             11.10
131072                 10.35             10.23             10.47         100             10.25             10.43             13.68
262144                 17.04             16.96             17.13         100             16.86             17.03             21.18
524288                 32.03             31.93             32.12         100             31.86             32.12             36.47
1048576                66.89             66.82             66.95         100             66.46             71.02             72.36

Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.62              0.39              0.83        1000              0.62              0.75              0.84
2                       0.62              0.39              0.85        1000              0.61              0.71              0.82
4                       0.62              0.39              0.83        1000              0.61              0.76              0.81
8                       0.60              0.38              0.82        1000              0.60              0.77              0.87
16                      0.61              0.38              0.82        1000              0.61              0.75              0.89
32                      0.81              0.48              1.08        1000              0.74              1.12              1.30
64                      0.77              0.44              1.03        1000              0.72              1.06              1.16
128                     1.15              0.77              1.40        1000              1.12              1.30              1.49
256                     1.18              0.80              1.44        1000              1.15              1.43              1.58
512                     1.35              0.85              1.69        1000              1.31              1.57              1.74
1024                    1.62              1.00              2.05        1000              1.62              1.87              2.06
2048                    2.53              1.63              3.17        1000              2.53              2.86              3.02
4096                    3.37              2.16              4.26        1000              3.36              3.69              3.87
8192                    5.46              3.50              7.04        1000              5.44              5.75              5.92
