Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
0,2,1,0.20400000000000001,0.003999999999999997
0,2,2,0.238,0.0058309518948452994
0,2,4,0.236,0.012083045973594575
0,2,8,0.24,0.006324555320336757
0,2,16,0.23199999999999998,0.013928388277184121
0,2,32,0.28800000000000003,0.007999999999999993
0,2,64,0.28200000000000003,0.013564659966250534
0,2,128,0.342,0.0019999999999999905
0,2,256,0.356,0.008124038404635955
0,2,512,0.39799999999999996,0.0037416573867739356
0,2,1024,0.44000000000000006,0.0070710678118654805
0,2,2048,0.588,0.0073484692283495405
0,2,4096,0.866,0.006000000000000005
0,2,8192,1.41,0.017029386365926383
0,2,16384,3.282,0.04576024475459025
0,2,32768,5.374,0.050159744815937796
0,2,65536,7.098000000000001,0.037336309405188915
0,2,131072,10.736,0.04739198244429097
0,2,262144,17.645999999999997,0.03994996871087623
0,2,524288,33.477999999999994,0.1058961755683358
0,2,1048576,70.684,0.2715437349673146
0,4,1,0.598,0.019339079605813717
0,4,2,0.608,0.014282856857085713
0,4,4,0.594,0.015684387141358117
0,4,8,0.604,0.01363818169698585
0,4,16,0.586,0.016309506430300092
0,4,32,0.8619999999999999,0.019849433241279205
0,4,64,0.8460000000000001,0.010295630140987009
0,4,128,1.1400000000000001,0.010488088481701472
0,4,256,1.192,0.013928388277184131
0,4,512,1.322,0.008602325267042634
0,4,1024,1.61,0.01760681686165898
0,4,2048,2.54,0.005477225575051625
0,4,4096,3.386,0.023790754506740702
0,4,8192,6.06,0.0679705818718657
0,4,16384,8.472,0.3037828171572578
0,4,32768,12.448,0.41683809806686317
0,4,65536,20.794,0.5988539053892857
0,4,131072,38.584,0.7866803671123365
0,4,262144,77.076,1.748097823349711
0,4,524288,166.918,2.0009732631896875
0,4,1048576,540.8620000000001,2.283975481479604
0,6,1,0.9120000000000001,0.011575836902790222
0,6,2,0.9279999999999999,0.021540659228538015
0,6,4,0.9359999999999999,0.022045407685048597
0,6,8,0.9199999999999999,0.02345207879911715
0,6,16,0.9,0.008944271909999166
0,6,32,1.112,0.012409673645990816
0,6,64,1.0219999999999998,0.015620499351813321
0,6,128,1.594,0.007483314773547889
0,6,256,1.634,0.016911534525287736
0,6,512,1.8,0.010954451150103331
0,6,1024,2.136,0.014
0,6,2048,3.1719999999999997,0.0037416573867739564
0,6,4096,4.208,0.07793587107359486
0,6,8192,8.436000000000002,0.06431174076325415
0,6,16384,11.382,0.298670386881592
0,6,32768,18.758,0.18776048572583123
0,6,65536,34.754,0.45450632558854404
0,6,131072,68.174,0.9211492821470355
0,6,262144,133.906,2.1008036557470082
0,6,524288,259.422,5.5806436904715575
0,6,1048576,968.68,2.621196291772146
0,8,1,1.004,0.016000000000000018
0,8,2,0.9880000000000001,0.02922327839240492
0,8,4,0.9960000000000001,0.019390719429665314
0,8,8,1.018,0.018000000000000016
0,8,16,1.004,0.019899748742132392
0,8,32,1.4200000000000002,0.05567764362830019
0,8,64,1.1960000000000002,0.01860107523773829
0,8,128,1.954,0.018330302779823376
0,8,256,1.9419999999999997,0.021071307505705458
0,8,512,2.182,0.020591260281974003
0,8,1024,2.5740000000000003,0.02135415650406264
0,8,2048,3.5200000000000005,0.020736441353327695
0,8,4096,4.86,0.027386127875258435
0,8,8192,7.601999999999999,0.06414047084329826
0,8,16384,13.668000000000001,0.16977632343763377
0,8,32768,23.523999999999997,0.30163885691336256
0,8,65536,45.38,0.7550033112510166
0,8,131072,88.864,0.8540526915829019
0,8,262144,177.722,2.6288255933020768
0,8,524288,349.044,11.525144511024585
0,8,1048576,616.144,16.22492237269565
0,10,1,1.2919999999999998,0.09531002045955085
0,10,2,1.3079999999999998,0.08052328855678956
0,10,4,1.322,0.08422588675698228
0,10,8,1.4,0.06008327554319921
0,10,16,1.3719999999999999,0.05782732917920384
0,10,32,1.634,0.052211109928826445
0,10,64,1.466,0.055731499172371066
0,10,128,2.178,0.057913728942281036
0,10,256,2.2220000000000004,0.03891015291668743
0,10,512,2.3880000000000003,0.028530685235374255
0,10,1024,2.916,0.029086079144498008
0,10,2048,3.782,0.011575836902790198
0,10,4096,5.4,0.03898717737923593
0,10,8192,8.533999999999999,0.06438944012802102
0,10,16384,14.934000000000001,0.09108238029388585
0,10,32768,28.406,0.32789632507852223
0,10,65536,53.15999999999999,3.0677483599539253
0,10,131072,105.97200000000001,6.227745498974729
0,10,262144,212.07000000000002,9.377035245747987
0,10,524288,413.852,9.763746412110466
0,10,1048576,752.76,11.700996966070877
0,12,1,1.182,0.07793587107359484
0,12,2,1.198,0.08598837130682263
0,12,4,1.212,0.07983733462484828
0,12,8,1.2959999999999998,0.06801470429252782
0,12,16,1.2819999999999998,0.04993996395673509
0,12,32,1.5579999999999998,0.04487761134463375
0,12,64,1.4200000000000002,0.04774934554525329
0,12,128,2.1420000000000003,0.04619523784980438
0,12,256,2.158,0.03666060555964668
0,12,512,2.386,0.027313000567495364
0,12,1024,2.942,0.021307275752662516
0,12,2048,3.8920000000000003,0.022671568097509316
0,12,4096,5.606,0.06136774397026499
0,12,8192,8.868,0.056780278266313544
0,12,16384,16.089999999999996,0.21026174164597772
0,12,32768,32.92999999999999,0.15076471735787506
0,12,65536,65.57600000000001,0.32245309736456307
0,12,131072,131.664,1.0350149757370632
0,12,262144,265.00600000000003,1.591557727511006
0,12,524288,520.0799999999999,9.614961258372285
0,12,1048576,855.1659999999999,25.64186939363042
0,14,1,1.1680000000000001,0.09728309205612247
0,14,2,1.1880000000000002,0.09656086163658649
0,14,4,1.178,0.07983733462484828
0,14,8,1.294,0.04331281565541543
0,14,16,1.274,0.0361386219991853
0,14,32,1.614,0.03867815921162742
0,14,64,1.4140000000000001,0.046968074263269516
0,14,128,2.186,0.039064049969249184
0,14,256,2.188,0.029393876913398148
0,14,512,2.3519999999999994,0.026532998322843223
0,14,1024,3.0100000000000002,0.018165902124584937
0,14,2048,3.868,0.030232432915661966
0,14,4096,5.837999999999999,0.0459782557302906
0,14,8192,9.206,0.061530480251660635
0,14,16384,16.735999999999997,0.11548160026601628
0,14,32768,37.605999999999995,0.32853614717409774
0,14,65536,72.314,1.6363025392634458
0,14,131072,144.69199999999998,7.055469793004573
0,14,262144,290.648,12.550796548426714
0,14,524288,590.022,16.777444501472793
0,14,1048576,1078.9360000000001,13.008357928654938
0,16,1,1.216,0.07110555533852468
0,16,2,1.2100000000000002,0.06449806198638838
0,16,4,1.226,0.05954829972383761
0,16,8,1.2000000000000002,0.04560701700396551
0,16,16,1.184,0.042614551505325025
0,16,32,1.536,0.02600000000000002
0,16,64,1.496,0.03501428280002322
