
Operation: bcast
Node: EPYC

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 16
Mapping: core
Iterations: 20000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       3.48              0.21              6.59       20000              3.04              3.58              3.92
2                       2.86              0.21              5.41       20000              2.80              3.17              3.40
4                       2.83              0.21              5.39       20000              2.78              3.08              3.22
8                       2.84              0.21              5.39       20000              2.80              3.08              3.23
16                      2.84              0.21              5.41       20000              2.80              3.09              3.25
32                      3.18              0.22              6.04       20000              3.15              3.44              3.64
64                      3.07              0.22              5.83       20000              3.03              3.32              3.53
128                     3.49              0.27              6.50       20000              3.46              3.74              3.94
256                     3.54              0.27              6.60       20000              3.50              3.74              3.96
512                     4.12              0.28              7.64       20000              4.08              4.39              4.63
1024                    4.32              0.29              8.03       20000              4.28              4.63              4.87
2048                    5.26              0.33              9.84       20000              5.22              5.59              6.28
4096                    6.51              0.39             12.17       20000              6.46              6.77              8.51
8192                    9.15              0.45             17.06       20000              9.05              9.44             12.07
16384                  34.01              3.25             59.27       20000             33.82             35.51             38.23
32768                  50.15              4.44             87.17       20000             49.66             52.49             54.75
65536                  82.80              6.99            143.63       20000             82.21             86.12             87.88
131072                153.18             13.62            265.39       20000            152.66            157.03            159.22
262144                305.82             30.55            527.99       20000            305.00            310.32            313.72
524288                626.68             67.35           1081.71       20000            625.21            630.75            636.00
1048576              1243.61            135.97           2154.51       20000           1243.08           1250.16           1258.37

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       3.03              0.25              5.73       20000              2.97              3.30              3.57
2                       2.87              0.23              5.47       20000              2.79              3.05              3.35
4                       3.10              0.23              5.94       20000              2.80              3.02              3.20
8                       3.06              0.23              5.66       20000              2.80              3.08              3.26
16                      2.84              0.23              5.42       20000              2.80              3.07              3.19
32                      3.17              0.27              6.02       20000              3.14              3.41              3.62
64                      3.11              0.25              5.92       20000              3.08              3.38              3.63
128                     3.50              0.28              6.55       20000              3.46              3.71              3.87
256                     3.57              0.29              6.66       20000              3.53              3.77              3.95
512                     4.08              0.29              7.62       20000              4.03              4.42              4.71
1024                    4.36              0.30              8.11       20000              4.31              4.64              4.94
2048                    5.26              0.35              9.82       20000              5.22              5.49              6.09
4096                    6.54              0.40             12.20       20000              6.49              6.85              8.43
8192                    9.26              0.45             17.24       20000              9.09              9.48             12.28
16384                  33.86              3.22             59.19       20000             33.67             35.36             38.11
