Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.31              0.18              0.40       30000              0.31              0.36              0.39
2                       0.32              0.18              0.42       30000              0.32              0.37              0.40
4                       0.32              0.18              0.42       30000              0.32              0.37              0.40
8                       0.33              0.18              0.43       30000              0.32              0.38              0.41
16                      0.33              0.18              0.43       30000              0.32              0.38              0.42
32                      0.39              0.20              0.54       30000              0.37              0.52              0.59
64                      0.37              0.19              0.51       30000              0.36              0.48              0.53
128                     0.51              0.27              0.72       30000              0.50              0.58              0.60
256                     0.55              0.30              0.77       30000              0.56              0.62              0.65
512                     0.62              0.31              0.90       30000              0.60              0.70              0.73
1024                    0.83              0.40              1.17       30000              0.82              0.88              0.91
2048                    1.17              0.55              1.71       30000              1.12              1.17              1.20
4096                    1.92              1.04              2.68       30000              1.92              1.99              2.03
8192                    2.66              1.88              3.59       30000              2.64              2.70              2.72
16384                   5.69              4.73              6.24       30000              5.71              6.26              6.62
32768                   9.17              7.53              9.96       30000              9.15             10.10             11.04
65536                  14.88             12.30             16.00       30000             14.82             16.11             17.55
131072                 26.65             22.36             28.37       30000             26.42             29.50             31.14
262144                 51.32             44.09             54.07       30000             50.27             56.65             58.52
524288                106.40            100.49            109.46       30000            106.99            112.24            114.64
1048576               234.80             99.53            311.53       30000            234.14            237.86            239.30


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.32              0.17              0.42      100000              0.31              0.37              0.41
2                       0.31              0.17              0.40      100000              0.31              0.36              0.39
4                       0.32              0.18              0.41      100000              0.31              0.37              0.40
8                       0.31              0.17              0.40      100000              0.31              0.36              0.38
16                      0.33              0.19              0.42      100000              0.32              0.36              0.40
32                      0.35              0.18              0.48      100000              0.34              0.44              0.54
64                      0.36              0.18              0.50      100000              0.35              0.46              0.52
128                     0.51              0.28              0.71      100000              0.50              0.60              0.63
256                     0.56              0.31              0.78      100000              0.57              0.64              0.66
512                     0.63              0.32              0.90      100000              0.62              0.73              0.77
1024                    0.83              0.41              1.18      100000              0.83              0.89              0.92
2048                    1.13              0.55              1.63      100000              1.12              1.18              1.22
4096                    1.91              1.10              2.63      100000              1.91              1.99              2.03
8192                    2.66              1.86              3.64      100000              2.65              2.74              2.77
16384                   5.64              4.73              6.19      100000              5.63              6.14              6.56
32768                   9.20              7.58              9.98      100000              9.19             10.01             10.94
65536                  14.98             12.76             16.00      100000             14.84             16.55             17.77
131072                 27.56             23.76             29.15      100000             27.23             30.53             31.98
262144                 53.22             47.49             55.58      100000             53.72             57.59             59.30
524288                106.62            100.17            109.92      100000            107.33            112.16            114.27
1048576               237.03            100.56            313.96      100000            236.44            240.11            241.64


Procs: 8


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.58              0.37              0.83       10000              0.57              0.68              0.77
2                       0.67              0.46              0.90       10000              0.65              0.77              0.83
4                       0.62              0.39              0.87       10000              0.60              0.72              0.81
8                       0.65              0.26              0.87       10000              0.65              0.73              0.77
16                      0.66              0.26              0.90       10000              0.66              0.74              0.77
32                      0.82              0.29              1.15       10000              0.81              0.94              1.00
64                      0.70              0.44              1.00       10000              0.67              0.88              0.95
128                     1.07              0.71              1.47       10000              1.06              1.20              1.26
256                     1.11              0.73              1.52       10000              1.10              1.22              1.29
512                     1.20              0.80              1.67       10000              1.19              1.35              1.40
1024                    1.47              0.97              2.04       10000              1.45              1.62              1.69
2048                    2.07              1.39              2.88       10000              2.06              2.16              2.21
4096                    3.05              1.07              4.14       10000              3.04              3.14              3.19
8192                    4.57              1.64              6.07       10000              4.55              4.68              4.75
16384                  11.35              5.91             16.28       10000             11.09             11.96             12.93
32768                  15.01              8.95             17.41       10000             14.99             16.28             17.34
65536                  28.74             21.13             31.65       10000             28.68             30.52             31.87
131072                 55.84             48.45             59.21       10000             55.74             58.29             59.74
262144                111.21            104.79            114.69       10000            111.07            114.74            116.59
524288                227.09            218.54            231.94       10000            226.85            232.33            235.22
1048576               437.62            399.23            451.86       10000            439.59            457.88            463.02


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.55              0.36              0.79       30000              0.54              0.66              0.73
2                       0.54              0.35              0.80       30000              0.54              0.64              0.72
4                       0.54              0.34              0.79       30000              0.53              0.64              0.72
8                       0.64              0.27              0.87       30000              0.63              0.72              0.76
16                      0.65              0.26              0.90       30000              0.65              0.74              0.77
32                      0.81              0.29              1.17       30000              0.80              0.92              0.98
64                      0.67              0.42              0.98       30000              0.66              0.81              0.87
128                     1.16              0.79              1.64       30000              1.15              1.28              1.32
256                     1.27              0.89              1.83       30000              1.18              1.32              1.36
512                     1.29              0.88              1.79       30000              1.27              1.41              1.46
1024                    1.55              1.08              2.19       30000              1.55              1.67              1.78
2048                    2.09              1.43              2.91       30000              2.09              2.17              2.21
4096                    3.25              1.27              4.28       30000              3.23              3.36              3.42
8192                    4.73              1.82              6.28       30000              4.72              4.83              4.91
16384                  11.35              6.15             16.19       30000             11.32             12.20             13.15
32768                  15.33              9.46             17.55       30000             15.28             16.47             17.61
65536                  29.31             22.39             32.20       30000             29.22             31.04             32.40
131072                 57.31             50.67             60.52       30000             57.18             59.95             61.56
262144                112.04            104.44            116.32       30000            111.86            115.97            117.85
524288                214.18            176.87            225.15       30000            213.60            224.22            228.08
1048576               401.81            274.21            437.19       30000            400.00            432.15            454.74


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.56              0.39              0.75      100000              0.54              0.67              0.83
2                       0.55              0.38              0.74      100000              0.54              0.66              0.72
4                       0.55              0.38              0.73      100000              0.54              0.66              0.71
8                       0.69              0.27              0.92      100000              0.68              0.77              0.81
16                      0.69              0.28              0.91      100000              0.69              0.78              0.82
32                      0.82              0.30              1.10      100000              0.82              0.94              1.00
64                      0.65              0.44              0.88      100000              0.63              0.80              0.88
128                     1.12              0.75              1.50      100000              1.11              1.24              1.32
256                     1.14              0.76              1.52      100000              1.13              1.27              1.35
512                     1.24              0.85              1.69      100000              1.23              1.40              1.46
1024                    1.50              1.03              2.06      100000              1.48              1.68              1.77
2048                    2.09              1.44              2.86      100000              2.08              2.18              2.23
4096                    3.26              1.27              4.29      100000              3.24              3.35              3.41
8192                    4.84              1.83              6.35      100000              4.82              4.94              5.01
16384                  11.19              6.00             16.01      100000             11.17             12.12             13.01
32768                  15.31             10.23             17.50      100000             15.25             16.37             17.55
65536                  28.99             23.61             31.47      100000             28.87             30.72             32.10
131072                 56.61             51.38             59.38      100000             56.49             59.27             60.84
262144                112.11            106.50            115.59      100000            112.03            115.91            117.80
524288                224.67            217.17            229.39      100000            224.43            230.22            232.84
1048576               444.14            406.09            455.51      100000            445.02            459.97            464.56


Procs: 16


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.36              1.02              1.78       10000              1.33              1.69              1.87
2                       1.32              0.99              1.77       10000              1.30              1.63              1.80
4                       1.33              0.99              1.80       10000              1.31              1.65              1.82
8                       1.30              0.96              1.76       10000              1.29              1.61              1.78
16                      1.34              1.00              1.79       10000              1.32              1.66              1.85
32                      1.54              1.11              2.13       10000              1.52              1.95              2.27
64                      1.53              1.09              2.09       10000              1.51              1.90              2.15
