
Operation: bcast  , Node: THIN

--------------------------------------------

Test: 1

Algorithm: 1
Procs: 4
Mapping: L3cache
Warmup: 5000
--------------------------------------------

Iterations: 10000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
Iterations: 10000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.36              0.12              0.60       10000              0.32              0.50              0.55
2                       0.36              0.12              0.59       10000              0.32              0.50              0.55
4                       0.36              0.12              0.59       10000              0.32              0.50              0.55
8                       0.36              0.12              0.60       10000              0.32              0.50              0.57
16                      0.36              0.12              0.59       10000              0.32              0.51              0.56
32                      0.55              0.14              0.96       10000              0.49              0.83              0.95
64                      0.50              0.12              0.88       10000              0.49              0.63              0.71
128                     0.78              0.29              1.27       10000              0.73              1.03              1.13
256                     0.79              0.31              1.28       10000              0.78              0.98              1.08
512                     0.87              0.30              1.44       10000              0.84              1.09              1.23
1024                    1.01              0.44              1.58       10000              1.00              1.19              1.28
2048                    1.35              0.48              2.21       10000              1.33              1.61              1.78
4096                    2.01              1.06              2.95       10000              1.98              2.39              2.50
8192                    3.20              1.83              4.57       10000              3.19              3.45              3.74
16384                   3.49              3.36              3.62       10000              3.39              3.91              4.16
32768                   5.70              5.45              5.94       10000              5.62              6.13              6.36
65536                   7.11              6.86              7.36       10000              7.03              7.55              7.96
131072                 10.62             10.30             10.94       10000             10.39             11.07             13.16
262144                 16.25             16.01             16.49       10000             16.16             16.85             19.23
524288                 28.65             28.40             28.89       10000             28.53             29.22             32.05
1048576                60.39             60.26             60.52       10000             60.11             63.84             64.96

Iterations: 20000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.13              0.61       20000              0.34              0.50              0.55
2                       0.36              0.12              0.59       20000              0.32              0.48              0.62
4                       0.36              0.12              0.60       20000              0.33              0.48              0.55
8                       0.36              0.12              0.60       20000              0.33              0.48              0.56
16                      0.35              0.12              0.59       20000              0.33              0.48              0.52
32                      0.49              0.13              0.85       20000              0.42              0.74              0.81
64                      0.47              0.12              0.82       20000              0.42              0.61              0.69
128                     0.76              0.28              1.25       20000              0.74              0.97              1.07
256                     0.78              0.29              1.27       20000              0.77              0.96              1.06
512                     0.89              0.31              1.46       20000              0.86              1.13              1.27
1024                    1.01              0.44              1.59       20000              1.00              1.19              1.34
2048                    1.34              0.47              2.21       20000              1.33              1.62              1.75
4096                    2.01              1.06              2.96       20000              1.98              2.36              2.50
8192                    3.31              1.87              4.74       20000              3.27              3.55              3.82
16384                   3.68              3.50              3.86       20000              3.61              4.20              4.42
32768                   5.71              5.46              5.97       20000              5.60              6.28              6.50
65536                   7.25              6.99              7.52       20000              7.32              7.77              8.03
131072                 10.12              9.85             10.38       20000             10.00             10.72             12.13
262144                 15.44             15.18             15.69       20000             15.32             16.27             18.40
524288                 27.89             27.63             28.15       20000             27.76             28.62             31.30
1048576                59.04             58.92             59.17       20000             58.76             62.42             63.47

Iterations: 50000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.35              0.12              0.59       50000              0.32              0.49              0.57
2                       0.35              0.12              0.59       50000              0.32              0.49              0.55
4                       0.35              0.12              0.59       50000              0.32              0.49              0.54
8                       0.35              0.12              0.59       50000              0.32              0.49              0.57
16                      0.35              0.12              0.59       50000              0.32              0.49              0.53
32                      0.51              0.11              0.90       50000              0.42              0.76              0.83
64                      0.46              0.11              0.81       50000              0.42              0.59              0.67
128                     0.75              0.26              1.24       50000              0.72              0.91              0.98
256                     0.77              0.28              1.27       50000              0.74              0.94              1.05
512                     0.85              0.27              1.43       50000              0.82              1.05              1.24
1024                    1.00              0.44              1.56       50000              0.99              1.18              1.30
2048                    1.30              0.45              2.16       50000              1.29              1.52              1.69
4096                    2.28              1.48              3.07       50000              2.28              2.59              2.76
8192                    3.52              2.48              4.56       50000              3.49              3.82              4.07
16384                   3.60              3.44              3.76       50000              3.56              4.13              4.31
32768                   5.71              5.46              5.97       50000              5.64              6.23              6.47
65536                   7.10              6.84              7.36       50000              7.02              7.61              7.94
131072                 10.17              9.90             10.43       50000             10.11             10.87             12.47
262144                 15.52             15.24             15.79       50000             15.44             16.33             18.45
524288                 27.65             27.36             27.93       50000             27.56             28.47             31.14
1048576                64.46             64.33             64.60       50000             64.21             67.77             69.27

Iterations: 100000

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.37              0.12              0.62      100000              0.34              0.50              0.58
2                       0.36              0.12              0.61      100000              0.33              0.49              0.58
4                       0.37              0.11              0.62      100000              0.34              0.50              0.58
8                       0.37              0.11              0.62      100000              0.34              0.50              0.58
16                      0.36              0.12              0.59      100000              0.33              0.49              0.62
32                      0.52              0.13              0.91      100000              0.42              0.78              0.90
64                      0.49              0.13              0.86      100000              0.42              0.73              0.85
128                     0.74              0.25              1.24      100000              0.75              0.92              1.05
256                     0.74              0.28              1.21      100000              0.72              0.98              1.11
512                     0.87              0.29              1.44      100000              0.85              1.12              1.28
1024                    1.03              0.45              1.61      100000              1.01              1.27              1.41
2048                    1.31              0.46              2.16      100000              1.29              1.67              1.84
4096                    2.23              1.46              3.01      100000              2.24              2.60              2.79
8192                    3.51              2.47              4.55      100000              3.49              3.86              4.13
16384                   3.60              3.46              3.75      100000              3.62              4.13              4.27
32768                   5.66              5.41              5.91      100000              5.58              6.24              6.46
65536                   6.90              6.65              7.15      100000              6.78              7.52              7.79
131072                 10.02              9.77             10.28      100000              9.96             10.76             12.31
262144                 14.94             14.68             15.21      100000             14.84             15.84             18.43
524288                 27.81             27.55             28.07      100000             27.51             29.54             31.91
1048576                62.64             62.51             62.76      100000             62.31             66.67             67.84

-------------------------------------------
