
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 3
Procs: 16
Mapping: core
Iterations: 10000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.98              0.19              5.97       50000              2.97              3.40              3.65
2                       1.71              0.48              2.37       50000              1.58              1.91              2.12
4                       1.61              0.51              2.24       50000              1.58              1.91              2.13
8                       1.60              0.48              2.22       50000              1.57              1.89              2.06
16                      1.59              0.47              2.20       50000              1.57              1.87              2.04
32                      1.60              0.47              2.23       50000              1.57              1.88              2.04
64                      2.00              0.50              2.90       50000              1.96              2.33              2.54
128                     1.93              0.51              2.77       50000              1.91              2.26              2.45
256                     2.75              0.77              4.13       50000              2.72              3.08              3.34
512                     2.85              0.79              4.37       50000              2.83              3.17              3.39
1024                    3.04              0.76              4.68       50000              3.00              3.36              3.61
2048                    3.94              0.92              5.80       50000              3.91              4.30              4.59
4096                    5.15              1.93              7.45       50000              5.10              5.47              6.06
8192                    7.22              2.55             10.25       50000              7.17              7.55              8.30
16384                  11.43              4.15             15.91       50000             11.33             11.82             14.51
32768                  19.08              8.36             28.75       50000             18.99             19.58             22.40
65536                  35.09             17.26             49.56       50000             34.89             36.25             39.58
131072                 68.94             35.67             95.90       50000             68.73             72.15             74.32
262144                130.31             69.46            177.32       50000            130.17            134.24            136.00
524288                288.55            207.39            369.57       50000            288.59            293.37            294.90
1048576               593.16            432.10            753.61       50000            593.30            597.53            600.88

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       2.93              0.20              5.93       50000              2.94              3.28              3.55
2                       1.72              0.46              2.43       50000              1.58              1.92              2.16
4                       1.61              0.49              2.25       50000              1.58              1.91              2.17
8                       1.60              0.46              2.24       50000              1.57              1.89              2.10
16                      1.59              0.45              2.22       50000              1.57              1.88              2.09
32                      1.60              0.45              2.24       50000              1.57              1.88              2.10
64                      2.00              0.48              2.91       50000              1.97              2.35              2.57
128                     1.92              0.48              2.78       50000              1.89              2.25              2.46
256                     2.74              0.77              4.05       50000              2.70              3.05              3.30
512                     2.84              0.81              4.33       50000              2.82              3.15              3.40
1024                    3.02              0.77              4.66       50000              2.99              3.35              3.61
2048                    3.90              0.93              5.76       50000              3.87              4.25              4.55
4096                    5.11              1.90              7.42       50000              5.07              5.45              5.89
8192                    7.19              2.53             10.16       50000              7.14              7.51              8.23
16384                  11.48              4.09             15.98       50000             11.38             11.88             14.43
32768                  19.61              8.40             29.36       50000             19.60             20.14             22.84
65536                  35.60             17.19             49.52       50000             35.41             36.95             39.90
