
Operation: bcast
Node: EPYC

--------------------------------------------
Test: 1

Algorithm: 1
Procs: 64
Mapping: core
Iterations: 50000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
Algorithm: 1
Procs: 96
Mapping: L3cache
Iterations: 50000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                      12.97              0.56             26.90       50000             12.78             14.34             16.06
2                      13.79              0.60             28.94       50000             13.54             16.14             17.40
4                      13.81              0.66             29.30       50000             13.67             15.42             16.74
8                      13.83              0.60             29.05       50000             13.71             15.71             16.85
16                     14.02              0.64             29.81       50000             13.84             15.86             17.04
32                     14.55              0.64             30.02       50000             14.04             17.18             18.37
64                     14.36              0.72             30.29       50000             14.01             16.71             17.80
128                    32.27              0.82             66.07       50000             31.93             34.92             37.17
256                    32.90              0.85             67.55       50000             32.16             36.27             38.39
512                    33.77              0.93             68.96       50000             33.48             36.36             38.66
1024                   35.58              0.99             72.39       50000             35.41             38.74             41.33
2048                   55.86              1.23            113.60       50000             55.55             58.61             60.89
4096                   74.10              1.65            150.19       50000             73.93             77.89             80.52
8192                  116.87              2.62            237.23       50000            116.26            121.21            123.75
16384                 152.49              6.91            239.40       50000            152.79            162.91            168.76
32768                 298.41             10.71            422.90       50000            298.00            310.76            318.51
65536                 691.01             37.26            845.85       50000            690.92            716.06            726.09
131072               1444.79            452.20           1632.62       50000           1445.27           1490.04           1509.00
262144               2934.85           1869.28           3134.29       50000           2945.72           3082.44           3140.11
524288               5016.75           2518.91           5673.10       50000           5017.40           5200.59           5424.30
1048576              9739.34           2703.42          10808.84       50000           9629.83          10474.60          10830.38

