Operation: bcast  , Node: THIN


--------------------------------------------
Algorithm: 0
--------------------------------------------


**Mapping: core**

Procs: 2


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.30              0.17              0.38       30000              0.29              0.35              0.43
2                       0.30              0.17              0.38       30000              0.29              0.34              0.41
4                       0.29              0.17              0.37       30000              0.29              0.34              0.41
8                       0.29              0.17              0.37       30000              0.29              0.34              0.41
16                      0.30              0.17              0.38       30000              0.30              0.34              0.41
32                      0.34              0.17              0.50       30000              0.33              0.44              0.53
64                      0.34              0.17              0.49       30000              0.33              0.42              0.52
128                     0.47              0.26              0.65       30000              0.47              0.55              0.58
256                     0.52              0.29              0.71       30000              0.52              0.58              0.61
512                     0.58              0.30              0.84       30000              0.58              0.65              0.68
1024                    0.77              0.38              1.13       30000              0.76              0.83              0.86
2048                    1.01              0.50              1.48       30000              1.00              1.07              1.12
4096                    1.67              0.86              2.41       30000              1.62              1.83              1.88
8192                    2.48              1.71              3.34       30000              2.47              2.57              2.68
16384                   4.66              3.76              5.18       30000              4.57              5.42              5.89
32768                   7.62              6.34              8.28       30000              7.56              8.54              9.44
65536                  12.16              9.69             13.25       30000             12.21             13.75             14.93
131072                 21.75             17.92             23.32       30000             21.80             23.98             26.52
262144                 40.32             33.17             43.04       30000             40.22             44.50             50.02
524288                 83.28             73.37             87.61       30000             82.50             96.42            107.70
1048576               224.92             92.20            297.94       30000            224.15            228.96            234.74


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.28              0.15              0.36      100000              0.28              0.33              0.40
2                       0.28              0.15              0.37      100000              0.28              0.33              0.40
4                       0.28              0.15              0.37      100000              0.28              0.33              0.41
8                       0.28              0.16              0.37      100000              0.28              0.34              0.40
16                      0.30              0.16              0.38      100000              0.29              0.34              0.41
32                      0.34              0.17              0.48      100000              0.33              0.45              0.53
64                      0.33              0.16              0.47      100000              0.32              0.43              0.48
128                     0.47              0.25              0.65      100000              0.47              0.53              0.56
256                     0.51              0.29              0.71      100000              0.51              0.57              0.61
512                     0.60              0.31              0.86      100000              0.60              0.67              0.72
1024                    0.79              0.40              1.15      100000              0.78              0.84              0.88
2048                    1.02              0.50              1.48      100000              1.01              1.07              1.12
4096                    1.78              1.01              2.47      100000              1.77              1.87              1.94
8192                    2.61              1.77              3.50      100000              2.59              2.70              2.85
16384                   4.74              3.83              5.26      100000              4.64              5.50              5.90
32768                   7.74              6.49              8.41      100000              7.67              8.75              9.57
65536                  12.77             10.42             13.87      100000             12.77             14.29             15.73
131072                 22.78             18.80             24.44      100000             22.76             25.34             28.24
262144                 42.50             35.89             45.17      100000             42.31             47.17             54.40
524288                 81.65             72.21             86.03      100000             81.32             93.56            105.22
1048576               221.96             89.79            294.75      100000            221.21            225.58            227.45


Procs: 8


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.58              0.36              0.87       10000              0.57              0.69              0.73
2                       0.60              0.36              0.90       10000              0.57              0.69              0.73
4                       0.58              0.36              0.88       10000              0.57              0.70              0.74
8                       0.60              0.24              0.81       10000              0.60              0.67              0.71
16                      0.60              0.24              0.81       10000              0.60              0.67              0.70
32                      0.73              0.27              0.99       10000              0.72              0.84              0.89
64                      0.68              0.40              1.02       10000              0.68              0.81              0.86
128                     1.03              0.66              1.44       10000              1.02              1.16              1.21
256                     1.09              0.71              1.53       10000              1.08              1.21              1.25
512                     1.12              0.74              1.56       10000              1.11              1.28              1.33
1024                    1.42              0.95              1.99       10000              1.42              1.56              1.61
2048                    2.01              1.40              2.81       10000              2.00              2.10              2.16
4096                    2.73              0.95              3.69       10000              2.72              2.80              2.84
8192                    4.38              1.55              5.86       10000              4.36              4.46              4.53
16384                   9.87              4.88             14.62       10000              9.57             10.49             11.65
32768                  12.53              5.47             15.32       10000             12.54             13.99             14.92
65536                  25.11             14.44             28.81       10000             25.25             27.21             28.48
131072                 50.20             36.96             54.85       10000             50.33             53.16             54.79
262144                101.88             87.68            107.46       10000            101.65            106.42            109.08
524288                207.79            190.98            215.41       10000            207.52            213.86            217.14
1048576               403.47            318.95            427.05       10000            405.12            433.86            448.32


Iter: 30000 , Warmup: 600
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.59              0.41              0.81       30000              0.58              0.70              0.76
2                       0.55              0.37              0.78       30000              0.54              0.65              0.72
4                       0.56              0.36              0.81       30000              0.54              0.69              0.74
8                       0.61              0.25              0.83       30000              0.61              0.70              0.74
16                      0.81              0.25              1.27       30000              0.62              0.70              0.74
32                      0.74              0.28              1.04       30000              0.73              0.88              0.94
64                      0.66              0.40              0.97       30000              0.66              0.79              0.85
128                     1.06              0.70              1.47       30000              1.04              1.19              1.24
256                     1.11              0.72              1.58       30000              1.09              1.23              1.27
512                     1.21              0.85              1.71       30000              1.19              1.32              1.37
1024                    1.49              1.01              2.09       30000              1.49              1.62              1.67
2048                    1.93              1.32              2.70       30000              1.92              2.03              2.11
4096                    3.03              1.19              4.00       30000              3.00              3.18              3.24
8192                    4.58              1.75              6.12       30000              4.55              4.78              4.89
16384                   9.84              5.07             14.41       30000              9.75             10.52             11.68
32768                  12.94              5.61             15.78       30000             12.97             14.38             15.28
65536                  25.15             15.04             28.58       30000             25.28             27.13             28.51
131072                 50.77             39.70             54.74       30000             50.77             53.51             55.15
262144                102.11             90.58            106.73       30000            101.81            106.49            108.65
524288                209.50            195.60            215.49       30000            209.35            215.09            217.81
1048576               392.80            294.67            418.13       30000            392.21            418.29            437.54


Iter: 100000 , Warmup: 2000
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.60              0.37              0.92      100000              0.60              0.70              0.74
2                       0.58              0.36              0.88      100000              0.57              0.70              0.74
4                       0.57              0.35              0.86      100000              0.56              0.68              0.72
8                       0.60              0.23              0.85      100000              0.59              0.67              0.72
16                      0.60              0.23              0.82      100000              0.60              0.68              0.71
32                      0.74              0.28              1.02      100000              0.73              0.87              0.92
64                      0.69              0.41              1.03      100000              0.69              0.83              0.88
128                     1.02              0.67              1.45      100000              1.00              1.18              1.22
256                     1.09              0.73              1.54      100000              1.07              1.23              1.27
512                     1.15              0.79              1.61      100000              1.14              1.30              1.42
1024                    1.49              1.02              2.08      100000              1.48              1.62              1.68
2048                    1.90              1.30              2.65      100000              1.90              1.98              2.03
4096                    3.12              1.23              4.12      100000              3.10              3.25              3.36
8192                    4.66              1.73              6.31      100000              4.64              4.80              4.92
16384                  10.07              5.01             14.72      100000              9.93             11.04             11.87
32768                  12.85              5.76             15.72      100000             12.83             14.40             15.36
65536                  25.33             14.83             28.79      100000             25.39             27.27             28.60
131072                 50.84             39.49             55.04      100000             50.75             53.58             55.19
262144                102.53             89.00            107.65      100000            102.39            106.37            108.45
524288                208.56            191.76            216.17      100000            208.38            213.88            216.78
1048576               391.91            301.34            418.25      100000            387.85            424.65            438.45


Procs: 16


Iter: 10000 , Warmup: 200
Repetition: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.37              1.09              1.79       10000              1.33              1.74              1.97
2                       1.32              1.05              1.65       10000              1.30              1.67              1.88
4                       1.28              1.00              1.60       10000              1.26              1.63              1.84
8                       1.26              0.98              1.59       10000              1.24              1.60              1.84
16                      1.27              0.99              1.59       10000              1.25              1.62              1.83
32                      1.49              1.11              1.97       10000              1.45              1.93              2.26
