
Operation: bcast
Node: THIN

--------------------------------------------
Test: 1

Algorithm: 0
Procs: 2
Mapping: socket
Iterations: 20000
--------------------------------------------

Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
Warmup: 200
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.33              0.31              0.34       10000              0.25              0.58              0.64
2                       0.32              0.31              0.33       10000              0.24              0.57              0.67
4                       0.37              0.36              0.38       10000              0.38              0.57              0.59
8                       0.34              0.33              0.35       10000              0.25              0.58              0.60
16                      0.34              0.32              0.35       10000              0.27              0.57              0.60
32                      0.60              0.50              0.74       10000              0.58              1.00              1.19
64                      0.57              0.48              0.70       10000              0.56              0.94              1.01
128                     1.09              0.91              1.46       10000              1.07              1.29              1.44
256                     1.14              0.96              1.52       10000              1.12              1.36              1.51
512                     1.31              1.03              1.79       10000              1.29              1.59              1.78
1024                    1.62              1.32              2.18       10000              1.60              1.87              2.04
2048                    2.50              2.15              3.34       10000              2.48              2.77              2.92
4096                    3.59              3.08              4.75       10000              3.57              3.91              4.16
8192                    5.88              5.07              7.72       10000              5.87              6.24              6.52
16384                   9.20              8.30             10.44       10000              8.97             11.34             12.56
32768                  14.48             13.68             15.64       10000             14.38             17.58             19.19
65536                  23.37             22.34             24.82       10000             23.34             27.72             29.98
131072                 43.31             41.94             45.70       10000             42.70             56.24             59.82
262144                 86.27             83.44             90.29       10000             84.23            108.38            113.95
524288                165.65            154.41            174.78       10000            166.50            174.25            178.01
1048576               332.47            302.52            362.40       10000            332.07            344.54            352.57

Warmup: 1000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.32              0.31              0.33       10000              0.25              0.57              0.63
2                       0.33              0.32              0.34       10000              0.25              0.56              0.76
4                       0.37              0.36              0.38       10000              0.39              0.52              0.59
8                       0.34              0.34              0.35       10000              0.25              0.56              0.78
16                      0.34              0.33              0.36       10000              0.29              0.51              0.56
32                      0.51              0.43              0.60       10000              0.35              0.99              1.16
64                      0.54              0.44              0.68       10000              0.56              0.93              1.02
128                     1.10              0.92              1.45       10000              1.06              1.33              1.50
256                     1.14              0.96              1.50       10000              1.10              1.39              1.54
512                     1.32              1.06              1.76       10000              1.29              1.59              1.74
1024                    1.62              1.33              2.17       10000              1.59              1.92              2.17
2048                    2.43              2.12              3.28       10000              2.41              2.77              3.01
4096                    3.61              3.11              4.79       10000              3.59              3.98              4.21
8192                    5.71              4.84              7.62       10000              5.66              6.00              6.28
16384                   8.90              7.71              9.89       10000              8.78             10.82             12.07
32768                  13.80             12.48             15.03       10000             13.72             16.77             18.42
65536                  22.96             20.81             24.64       10000             22.90             27.90             30.83
131072                 39.80             33.97             43.25       10000             38.97             48.96             54.91
262144                 82.77             76.14             87.12       10000             78.88            106.17            112.74
524288                162.60            150.65            171.13       10000            164.41            172.41            176.41
