
# OSU MPI Reduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
256                     1.07              0.18              3.42       50000              1.05              1.14              1.22
512                     1.16              0.19              3.86       50000              1.15              1.23              1.28
1024                    1.39              0.20              4.91       50000              1.35              1.42              1.49
2048                    1.87              0.25              6.24       50000              1.85              1.92              1.97
4096                    2.82              0.62              9.31       50000              2.80              2.88              3.01
8192                    4.41              0.92             15.32       50000              4.38              4.47              4.98
16384                   7.54              1.81             25.51       50000              7.49              7.61              8.84
32768                  12.83              3.41             41.57       50000             12.77             12.98             15.18
65536                  22.51              6.71             69.68       50000             22.40             22.88             25.65
131072                 41.66             13.24            124.40       50000             41.46             43.02             45.57
