
Algorithm: 3

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.33              0.21              0.46        1000              0.31              0.39              0.44
4                       0.33              0.19              0.46        1000              0.31              0.42              0.46
8                       0.32              0.19              0.44        1000              0.30              0.38              0.43
16                      0.33              0.21              0.46        1000              0.30              0.41              0.44
32                      0.38              0.20              0.57        1000              0.37              0.49              0.56
64                      0.39              0.19              0.59        1000              0.38              0.48              0.52
128                     0.43              0.23              0.63        1000              0.42              0.48              0.50
256                     0.46              0.25              0.66        1000              0.45              0.55              0.60
512                     0.50              0.26              0.74        1000              0.49              0.56              0.60
1024                    0.59              0.29              0.88        1000              0.58              0.66              0.68
2048                    0.78              0.36              1.20        1000              0.75              0.86              0.94
4096                    1.10              0.48              1.72        1000              1.08              1.21              1.25
8192                    1.74              0.84              2.65        1000              1.71              1.80              1.88
16384                   4.20              4.12              4.28         100              4.15              4.25              4.34
32768                   7.03              6.97              7.08         100              6.84              7.00             15.23
65536                   9.15              9.09              9.22         100              8.95              9.15             16.41
131072                 13.49             13.42             13.56         100             13.33             13.65             19.78
262144                 22.01             21.92             22.11         100             21.80             22.57             26.89
524288                 41.27             41.18             41.36         100             40.99             42.21             44.89
1048576                86.88             86.85             86.90         100             86.47             91.45             94.98

Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.24              0.31              1.84        1000              1.21              1.40              1.52
2                       1.38              0.31              1.97        1000              1.20              1.45              1.67
4                       1.21              0.31              1.81        1000              1.17              1.35              1.61
8                       1.15              0.29              1.70        1000              1.11              1.29              1.45
16                      1.11              0.28              1.65        1000              1.07              1.27              1.48
32                      1.56              0.27              2.61        1000              1.53              1.88              2.17
64                      1.32              0.25              2.17        1000              1.28              1.57              1.74
128                     2.06              0.39              3.46        1000              2.01              2.26              2.68
256                     2.12              0.38              3.57        1000              2.07              2.37              2.79
512                     2.37              0.38              4.04        1000              2.33              2.61              2.94
1024                    2.75              0.55              4.55        1000              2.71              3.02              3.35
2048                    3.67              0.57              6.26        1000              3.61              3.98              4.33
4096                    5.05              1.21              8.29        1000              5.00              5.43              7.36
8192                    8.33              1.94             13.56        1000              8.31              8.68             10.71
16384                  16.08              7.04             21.20         100             15.90             17.00             18.92
32768                  27.54             12.47             35.92         100             27.37             28.51             30.78
65536                  43.74             19.51             57.12         100             43.55             45.19             49.78
131072                 76.59             35.30             98.41         100             76.10             81.15             83.52
262144                142.29             65.24            182.60         100            141.48            147.01            149.43
524288                264.84            116.74            341.57         100            263.97            271.02            271.70
1048576               521.96            228.87            673.72         100            522.06            527.39            528.40

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.26              0.33              1.87        1000              1.22              1.43              1.75
2                       1.21              0.32              1.80        1000              1.18              1.33              1.43
4                       1.17              0.29              1.74        1000              1.13              1.32              1.55
8                       1.13              0.27              1.69        1000              1.10              1.26              1.37
16                      1.09              0.27              1.63        1000              1.06              1.24              1.38
32                      1.34              0.25              2.22        1000              1.29              1.62              1.91
64                      1.31              0.26              2.14        1000              1.27              1.64              1.88
128                     2.04              0.39              3.42        1000              1.98              2.25              2.57
256                     2.09              0.39              3.50        1000              2.04              2.31              2.57
512                     2.33              0.38              4.00        1000              2.28              2.60              2.94
1024                    2.73              0.56              4.53        1000              2.69              2.98              3.75
2048                    3.64              0.58              6.21        1000              3.57              3.96              5.90
4096                    5.05              1.22              8.22        1000              4.99              5.39              7.78
8192                    8.24              1.96             13.44        1000              8.20              8.62             10.62
16384                  16.71              7.31             22.08         100             16.54             17.97             20.78
32768                  27.82             12.52             36.35         100             27.59             28.63             32.46
65536                  43.91             19.64             57.28         100             43.69             45.79             48.57
131072                 77.08             35.13             99.45         100             76.59             80.51             81.88
262144                143.09             64.35            184.88         100            142.36            148.08            149.11
524288                268.61            118.08            347.69         100            267.52            275.34            279.30
1048576               525.33            229.46            679.92         100            525.69            530.28            531.46

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       1.30              0.34              1.93        1000              1.25              1.46              1.68
2                       1.24              0.33              1.82        1000              1.22              1.38              1.47
4                       1.19              0.31              1.74        1000              1.15              1.33              1.45
8                       1.13              0.29              1.68        1000              1.11              1.25              1.34
16                      1.11              0.29              1.65        1000              1.07              1.27              1.55
32                      1.40              0.28              2.25        1000              1.30              1.75              2.13
64                      1.32              0.26              2.15        1000              1.29              1.57              1.81
