Test	Processes	Size		Total		Communication	Sorting		Merging
1	1		100000		0.009544	0.000000	0.000000	0.009544
1	2		200000		0.028322	0.006437	0.009643	0.012242
1	4		400000		0.057539	0.015678	0.009525	0.032336
1	8		800000		0.114450	0.026159	0.009641	0.078650
1	16		1600000		0.227494	0.052344	0.009704	0.165446
1	32		3200000		0.450200	0.098459	0.009704	0.342037
1	64		6400000		0.967468	0.188059	0.009735	0.769675
1	128		12800000	2.156830	0.426248	0.010636	1.719946
