


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       0.15              0.09              0.21       10000              0.15              0.16              0.18
4                       0.15              0.09              0.21       10000              0.15              0.16              0.18
8                       0.16              0.09              0.22       10000              0.15              0.17              0.18
16                      0.15              0.09              0.21       10000              0.15              0.16              0.18
32                      0.16              0.09              0.22       10000              0.16              0.18              0.19
64                      0.15              0.09              0.20       10000              0.15              0.16              0.17
128                     0.22              0.15              0.29       10000              0.22              0.24              0.25
256                     0.22              0.15              0.29       10000              0.22              0.24              0.26
512                     0.24              0.15              0.32       10000              0.24              0.28              0.29
1024                    0.25              0.15              0.35       10000              0.24              0.29              0.30
2048                    0.30              0.19              0.41       10000              0.30              0.33              0.35
4096                    0.38              0.26              0.51       10000              0.38              0.42              0.43
8192                    0.55              0.39              0.71       10000              0.55              0.59              0.61
16384                   3.91              3.84              3.99       10000              3.73              4.42              4.56
32768                   4.27              4.20              4.34       10000              4.22              4.41              4.60
65536                   5.63              5.56              5.70       10000              5.57              5.89              6.56
131072                  9.64              9.63              9.65       10000              9.50             10.00             12.22
262144                 19.84             19.77             19.92       10000             19.31             19.90             23.33
524288                 39.80             39.79             39.81       10000             39.50             41.01             43.35
1048576                78.76             78.74             78.77       10000             77.76             80.75             82.62

Iter: 100000
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.16              0.10              0.22      100000              0.15              0.17              0.18
2                       0.16              0.10              0.22      100000              0.16              0.17              0.18
4                       0.16              0.10              0.21      100000              0.16              0.17              0.18
8                       0.15              0.10              0.21      100000              0.15              0.17              0.18
16                      0.16              0.09              0.22      100000              0.16              0.17              0.18
32                      0.15              0.10              0.21      100000              0.15              0.17              0.18
64                      0.15              0.10              0.21      100000              0.15              0.17              0.18
128                     0.21              0.15              0.28      100000              0.21              0.23              0.25
256                     0.22              0.15              0.29      100000              0.22              0.24              0.27
512                     0.25              0.16              0.34      100000              0.24              0.27              0.28
1024                    0.25              0.16              0.35      100000              0.25              0.29              0.30
2048                    0.30              0.19              0.41      100000              0.30              0.33              0.35
4096                    0.39              0.26              0.51      100000              0.38              0.42              0.43
8192                    0.56              0.40              0.71      100000              0.56              0.61              0.64
16384                   3.79              3.72              3.86      100000              3.70              4.14              4.39
32768                   4.29              4.23              4.36      100000              4.22              4.48              4.92
65536                   6.11              6.06              6.16      100000              6.06              6.45              7.13
131072                 10.82             10.82             10.82      100000             10.75             11.28             13.46
262144                 20.57             20.57             20.57      100000             20.45             21.33             23.62
524288                 41.36             41.34             41.37      100000             41.10             42.53             44.75
1048576                79.38             79.37             79.39      100000             78.72             81.59             83.45

Iter: 1000000
# OSU MPI Broadcast Latency Test v7.3
