1,1.220499
2,1.582573
3,1.641497
4,1.920032
5,2.284776
6,3.300095
7,4.685997
8,4.041890
1,1.759429
2,1.851972
3,2.600337
4,2.892989
5,3.208437
6,2.374659
7,3.157522
8,3.977540
1,1.485577
2,1.860528
3,2.580102
4,2.861961
5,3.348143
6,3.451657
7,3.786139
8,3.239179
1,1.394605
2,2.415116
3,2.580665
4,3.382260
5,2.936641
6,3.258180
7,4.267092
8,4.080892
1,1.951549
2,1.879433
3,3.034168
4,2.763718
5,3.116350
6,3.242955
7,3.145316
8,3.686214
1,2.119410
2,1.690964
3,2.099399
4,2.851113
5,3.091974
6,3.336243
7,3.673249
8,3.677320
1,1.408124
2,2.276907
3,2.610668
4,2.808324
5,3.092835
6,2.968743
7,2.364005
8,3.697029
1,2.077622
2,2.320867
3,2.223575
4,2.797001
5,3.083894
6,3.353389
7,2.792452
8,2.882595
1,2.087961
2,2.374078
3,2.487877
4,1.898087
5,2.410660
6,3.360338
7,3.538432
8,2.555028
1,1.508819
2,2.306945
3,2.546982
4,2.844273
5,3.108363
6,2.756659
7,3.127811
8,3.677973
