
Procs: 48

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
2                       2.82              0.73              4.45        1000              2.77              2.96              4.39
4                       2.78              0.73              4.41        1000              2.76              2.93              4.05
8                       2.77              0.71              4.42        1000              2.75              2.90              3.23
16                      2.79              0.73              4.42        1000              2.76              2.92              3.65
32                      3.18              0.85              5.16        1000              3.05              3.81              4.64
64                      3.51              0.84              5.40        1000              3.42              3.84              4.61
128                     4.11              1.64              6.25        1000              4.05              4.34              6.57
256                     4.36              1.66              6.55        1000              4.31              4.59              6.17
512                     4.67              1.71              7.10        1000              4.63              4.90              6.11
1024                    5.59              2.23              8.61        1000              5.54              6.00              6.61
2048                    6.88              3.99             10.40        1000              6.84              7.10              9.37
4096                    9.78              6.09             14.07        1000              9.74             10.07             11.88
8192                   14.21              9.08             20.06        1000             14.14             14.58             17.00
16384                  26.05             13.26             33.80         100             25.86             28.13             29.31
32768                  44.03             22.98             58.59         100             43.80             46.66             47.28
65536                  81.84             42.73            106.92         100             81.52             85.74             86.30
131072                168.34             81.44            235.28         100            167.97            175.61            177.23
262144                335.15            158.77            479.34         100            335.69            346.71            349.65
524288                627.51            299.68            901.72         100            628.48            653.13            659.43
1048576              1070.56            431.84           1540.59         100           1068.21           1141.18           1154.13
