Algorithm,Procs,Size,Avg Latency(us) Mean,Avg Latency(us) Std Error
7,2,1,0.28400000000000003,0.01805547008526779
7,2,2,0.28600000000000003,0.02014944167960989
7,2,4,0.268,0.018275666882497068
7,2,8,0.276,0.014352700094407325
7,2,16,0.27,0.014832396974191324
7,2,32,0.33,0.01095445115010332
7,2,64,0.314,0.02039607805437114
7,2,128,0.382,0.011135528725660045
7,2,256,0.39199999999999996,0.013564659966250534
7,2,512,0.434,0.015999999999999997
7,2,1024,0.516,0.02135415650406262
7,2,2048,0.654,0.02039607805437114
7,2,4096,0.9879999999999999,0.02764054992217051
7,2,8192,1.55,0.03405877273185281
7,2,16384,3.7099999999999995,0.3012142094921818
7,2,32768,6.0600000000000005,0.40828911325187206
7,2,65536,8.014,0.48771508075924813
7,2,131072,12.028,0.7231832409562601
7,2,262144,19.834,1.1977462168589805
7,2,524288,37.362,2.157005795077983
7,2,1048576,77.684,4.040665291755802
7,4,1,0.664,0.013638181696985852
7,4,2,0.682,0.020591260281974
7,4,4,0.6679999999999999,0.013190905958272913
7,4,8,0.64,0.0070710678118654805
7,4,16,0.6220000000000001,0.013564659966250548
7,4,32,0.7459999999999999,0.022494443758404006
7,4,64,0.716,0.01029563014098701
7,4,128,1.348,0.00969535971483263
7,4,256,1.3879999999999997,0.007348469228349499
7,4,512,1.6039999999999999,0.013266499161421572
7,4,1024,1.936,0.013638181696985868
7,4,2048,2.7239999999999998,0.01122497216032175
7,4,4096,3.8400000000000007,0.03687817782917154
7,4,8192,6.0600000000000005,0.03507135583350032
7,4,16384,9.026,0.16845177351396437
7,4,32768,13.648,0.2974962184633613
7,4,65536,22.462,0.4962700877546416
7,4,131072,40.338,1.1939740365686349
7,4,262144,80.34799999999998,1.5922794980781474
7,4,524288,168.844,1.5072843129283886
7,4,1048576,324.91,7.958039331393134
7,6,1,1.0180000000000002,0.028000000000000025
7,6,2,1.02,0.023021728866442694
7,6,4,1.018,0.024779023386727737
7,6,8,0.944,0.013266499161421589
7,6,16,0.898,0.0058309518948453055
7,6,32,1.0879999999999999,0.014966629547095739
7,6,64,0.9960000000000001,0.00979795897113272
7,6,128,1.6659999999999997,0.0060000000000000045
7,6,256,1.6759999999999997,0.010295630140987009
7,6,512,1.866,0.016309506430300064
7,6,1024,2.2399999999999998,0.01303840481040524
7,6,2048,2.928,0.020346989949375824
7,6,4096,4.15,0.036742346141747644
7,6,8192,6.5,0.018708286933869687
7,6,16384,12.355999999999998,0.11885285019720822
7,6,32768,20.302000000000003,0.08266801074176125
7,6,65536,37.470000000000006,0.1709970759983925
7,6,131072,75.402,0.4259037449941
7,6,262144,152.082,0.971325897935395
7,6,524288,299.196,2.692018944955628
7,6,1048576,529.78,7.786787527600834
7,8,1,1.686,0.019131126469709006
7,8,2,1.6919999999999997,0.02395829710142186
7,8,4,1.6219999999999999,0.04115823125451335
7,8,8,1.4999999999999998,0.03911521443121588
7,8,16,1.4220000000000002,0.03006659275674581
7,8,32,1.658,0.04115823125451335
7,8,64,1.564,0.03218695387886217
7,8,128,2.408,0.02817800560721074
7,8,256,2.3299999999999996,0.025884358211089566
7,8,512,2.516,0.012083045973594537
7,8,1024,2.8920000000000003,0.012409673645990845
7,8,2048,3.772,0.017720045146669295
7,8,4096,5.287999999999999,0.019849433241279205
7,8,8192,7.973999999999999,0.058787753826796435
7,8,16384,14.557999999999998,0.13621306838919683
7,8,32768,25.4,0.09544631999191998
7,8,65536,47.996,0.4574122866736309
7,8,131072,96.55,1.3882615027436285
7,8,262144,190.378,6.76019112155862
7,8,524288,379.392,12.17331606424478
7,8,1048576,670.2099999999999,12.591334718765921
7,10,1,2.1420000000000003,0.049436828377233066
7,10,2,2.1839999999999997,0.044564559910314355
7,10,4,2.016,0.04142463035441592
7,10,8,1.844,0.05085272854036448
7,10,16,1.718,0.03199999999999999
7,10,32,1.968,0.04684015371452146
7,10,64,1.8080000000000003,0.021307275752662534
7,10,128,2.58,0.023021728866442676
7,10,256,2.5420000000000003,0.01655294535724682
7,10,512,2.66,0.01760681686165906
7,10,1024,3.146,0.020149441679609918
7,10,2048,3.9219999999999997,0.012806248474865715
7,10,4096,5.354000000000001,0.03264965543462891
7,10,8192,8.152,0.04554119014694285
7,10,16384,16.582,0.10195096860746368
7,10,32768,29.056,0.10787029248129427
7,10,65536,55.794,0.09244457799135695
7,10,131072,109.63200000000002,0.36865159703980593
7,10,262144,216.43,2.8068256091178863
7,10,524288,417.9440000000001,6.48320183242817
7,10,1048576,722.212,7.80157509737618
7,12,1,1.7799999999999998,0.10871982339941505
7,12,2,1.75,0.10812030336620407
7,12,4,1.674,0.09568698971124551
7,12,8,1.544,0.07865112840894274
7,12,16,1.458,0.06799999999999999
7,12,32,1.814,0.06816157275180787
7,12,64,1.6279999999999997,0.04993996395673509
7,12,128,2.432,0.052287665849605494
7,12,256,2.344,0.050950956811427944
7,12,512,2.5340000000000003,0.04057092555020161
7,12,1024,3.0599999999999996,0.037148351242013426
7,12,2048,3.914,0.025416530054277638
7,12,4096,5.561999999999999,0.04565084884205332
7,12,8192,8.714000000000002,0.07698051701567081
7,12,16384,17.672000000000004,0.18575252353602098
7,12,32768,31.764,0.15477725931156752
7,12,65536,61.312,0.19604591298978888
7,12,131072,122.224,1.1579231407999417
7,12,262144,245.038,2.214706301070187
7,12,524288,476.326,5.718346439312681
7,12,1048576,819.18,8.961696825936466
7,14,1,1.586,0.12135073135337912
7,14,2,1.6199999999999999,0.12915107432770354
7,14,4,1.53,0.10114346246792225
7,14,8,1.464,0.07061161377563889
7,14,16,1.416,0.05005996404313532
7,14,32,1.766,0.04478839135311738
7,14,64,1.584,0.03789459064299283
7,14,128,2.396,0.03709447398198281
7,14,256,2.348,0.03891015291668743
7,14,512,2.488,0.041880783182743825
7,14,1024,3.128,0.03307567081708248
7,14,2048,3.9159999999999995,0.022494443758404026
7,14,4096,5.593999999999999,0.060876925020897726
7,14,8192,8.748000000000001,0.05435071296680483
7,14,16384,18.398000000000003,0.24168988394221214
7,14,32768,32.268,0.14728883189162698
7,14,65536,63.226,0.31198717922376296
7,14,131072,125.72,0.7173562573784394
7,14,262144,250.848,1.4067529989305192
7,14,524288,490.38800000000003,2.9479134994093736
7,14,1048576,864.9040000000001,11.28380370265276
7,16,1,1.8699999999999999,0.09549869109050654
7,16,2,1.818,0.09536246641105714
7,16,4,1.7919999999999998,0.07863841300534997
7,16,8,1.716,0.06592419889539802
7,16,16,1.656,0.05887274411814009
7,16,32,1.9440000000000002,0.04802082881417185
7,16,64,1.834,0.03749666651850533
7,16,128,2.814,0.038678159211627434
7,16,256,2.728,0.038781438859330594
7,16,512,2.8819999999999997,0.022226110770892874
7,16,1024,3.386,0.028390139133156758
7,16,2048,4.422,0.018275666882497064
7,16,4096,6.1160000000000005,0.04489988864128719
7,16,8192,9.482000000000001,0.05642694391866321
7,16,16384,19.02,0.13935566009315895
7,16,32768,34.6,0.209356155868415
7,16,65536,67.02599999999998,0.47528517755132965
7,16,131072,134.072,0.9466646713594016
7,16,262144,266.088,1.6863078010849566
7,16,524288,510.89799999999997,5.106579481414152
7,16,1048576,920.266,2.7030290416493785
7,18,1,2.0900000000000003,0.19485892332659543
7,18,2,1.998,0.175994318090102
7,18,4,1.996,0.13944891537763932
7,18,8,1.9100000000000001,0.09648834126463152
7,18,16,1.8700000000000003,0.08792041856133309
