
Algorithm: 2

Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.22              0.11              0.32        1000              0.21              0.29              0.31
2                       0.27              0.16              0.38        1000              0.25              0.36              0.38
4                       0.23              0.13              0.33        1000              0.22              0.32              0.34
8                       0.26              0.16              0.36        1000              0.25              0.35              0.37
16                      0.23              0.13              0.33        1000              0.22              0.32              0.35
32                      0.30              0.15              0.45        1000              0.29              0.41              0.48
64                      0.27              0.14              0.39        1000              0.25              0.33              0.36
128                     0.34              0.17              0.51        1000              0.33              0.41              0.43
256                     0.35              0.18              0.52        1000              0.34              0.44              0.47
512                     0.40              0.18              0.61        1000              0.39              0.48              0.52
1024                    0.47              0.23              0.70        1000              0.45              0.54              0.58
2048                    0.59              0.23              0.95        1000              0.57              0.67              0.72
4096                    0.87              0.39              1.34        1000              0.83              1.02              1.09
8192                    1.44              0.68              2.19        1000              1.42              1.48              1.53
16384                   4.21              4.13              4.28         100              4.09              4.25              9.32
32768                   7.07              7.04              7.10         100              6.94              7.13             11.07
65536                   9.21              9.20              9.23         100              9.12              9.37             10.68
131072                 13.64             13.59             13.68         100             13.50             13.81             17.88
262144                 22.23             22.22             22.25         100             22.10             22.43             27.09
524288                 41.43             41.39             41.46         100             41.00             41.69             47.14
1048576                85.14             85.09             85.18         100             85.42             92.54             96.45

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.18              0.11              0.26        1000              0.17              0.26              0.27
2                       0.22              0.13              0.31        1000              0.20              0.30              0.32
4                       0.25              0.15              0.36        1000              0.24              0.33              0.36
8                       0.21              0.12              0.30        1000              0.20              0.29              0.31
16                      0.25              0.15              0.36        1000              0.24              0.32              0.35
32                      0.26              0.12              0.40        1000              0.25              0.33              0.38
64                      0.29              0.15              0.43        1000              0.28              0.38              0.43
128                     0.35              0.19              0.51        1000              0.33              0.42              0.44
256                     0.37              0.21              0.54        1000              0.35              0.44              0.49
512                     0.39              0.20              0.58        1000              0.38              0.47              0.49
1024                    0.46              0.23              0.69        1000              0.45              0.50              0.53
2048                    0.59              0.24              0.94        1000              0.57              0.70              0.72
4096                    0.86              0.42              1.30        1000              0.83              1.03              1.07
8192                    1.43              0.69              2.17        1000              1.42              1.48              1.57
16384                   3.23              3.16              3.31         100              3.23              3.39              3.43
32768                   5.23              5.13              5.34         100              5.23              5.36              5.39
65536                   7.00              6.90              7.10         100              6.98              7.18              7.35
131072                 10.40             10.29             10.52         100             10.32             10.56             11.97
262144                 17.13             17.04             17.22         100             17.03             17.37             18.33
524288                 32.42             32.34             32.49         100             32.23             32.84             37.55
1048576                67.75             67.69             67.80         100             67.23             71.57             73.58

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.28        1000              0.19              0.25              0.30
2                       0.24              0.14              0.33        1000              0.23              0.28              0.34
4                       0.22              0.12              0.31        1000              0.20              0.30              0.32
8                       0.25              0.15              0.34        1000              0.23              0.29              0.34
16                      0.21              0.12              0.30        1000              0.20              0.30              0.32
32                      0.31              0.14              0.48        1000              0.30              0.42              0.46
64                      0.27              0.13              0.41        1000              0.26              0.32              0.37
128                     0.34              0.18              0.49        1000              0.34              0.40              0.43
256                     0.35              0.19              0.50        1000              0.34              0.40              0.44
512                     0.37              0.18              0.56        1000              0.36              0.42              0.45
1024                    0.45              0.22              0.69        1000              0.45              0.51              0.54
2048                    0.58              0.23              0.92        1000              0.56              0.66              0.69
4096                    0.86              0.39              1.33        1000              0.83              1.02              1.06
8192                    1.43              0.68              2.18        1000              1.42              1.48              1.50
16384                   3.23              3.16              3.30         100              3.21              3.35              3.45
32768                   5.40              5.30              5.51         100              5.40              5.53              5.60
65536                   7.22              7.11              7.33         100              7.14              7.39              7.45
131072                 10.72             10.57             10.88         100             10.61             10.90             15.18
262144                 17.57             17.48             17.66         100             17.41             18.04             21.43
524288                 33.01             32.86             33.16         100             32.63             33.81             41.30
1048576                66.73             66.66             66.79         100             66.09             71.21             74.24

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.21              0.11              0.31        1000              0.20              0.31              0.33
2                       0.25              0.15              0.34        1000              0.24              0.32              0.37
4                       0.22              0.12              0.32        1000              0.21              0.31              0.34
8                       0.25              0.15              0.36        1000              0.24              0.32              0.37
16                      0.21              0.11              0.30        1000              0.20              0.31              0.33
32                      0.27              0.13              0.42        1000              0.26              0.37              0.42
64                      0.30              0.15              0.45        1000              0.28              0.38              0.43
128                     0.33              0.16              0.49        1000              0.32              0.38              0.40
256                     0.37              0.19              0.56        1000              0.37              0.49              0.51
512                     0.38              0.17              0.59        1000              0.38              0.44              0.47
1024                    0.47              0.23              0.72        1000              0.47              0.58              0.62
2048                    0.59              0.24              0.95        1000              0.57              0.68              0.74
4096                    0.88              0.44              1.33        1000              0.84              1.02              1.11
8192                    1.45              0.69              2.21        1000              1.44              1.50              1.52
16384                   3.28              3.21              3.36         100              3.28              3.41              3.49
32768                   5.48              5.37              5.58         100              5.41              5.56              5.78
65536                   7.18              7.06              7.31         100              7.08              7.30             10.12
131072                 10.65             10.51             10.78         100             10.53             10.76             14.85
262144                 17.70             17.62             17.77         100             17.43             17.84             22.31
524288                 33.10             33.06             33.14         100             32.84             33.77             37.30
1048576                68.23             68.23             68.23         100             67.71             71.89             73.49

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.20              0.11              0.29        1000              0.19              0.25              0.29
2                       0.26              0.16              0.36        1000              0.25              0.33              0.36
4                       0.22              0.12              0.31        1000              0.21              0.27              0.31
8                       0.26              0.16              0.36        1000              0.24              0.31              0.37
16                      0.20              0.11              0.29        1000              0.19              0.26              0.29
32                      0.27              0.12              0.42        1000              0.28              0.32              0.39
64                      0.31              0.15              0.47        1000              0.31              0.37              0.46
128                     0.32              0.17              0.47        1000              0.32              0.39              0.46
256                     0.36              0.20              0.53        1000              0.35              0.47              0.49
512                     0.38              0.19              0.57        1000              0.37              0.46              0.50
1024                    0.45              0.22              0.68        1000              0.43              0.49              0.51
2048                    0.59              0.24              0.94        1000              0.57              0.65              0.71
4096                    0.87              0.42              1.31        1000              0.84              1.02              1.06
8192                    1.43              0.68              2.17        1000              1.42              1.47              1.52
16384                   3.27              3.20              3.35         100              3.27              3.39              3.42
32768                   5.32              5.23              5.41         100              5.29              5.51              5.68
65536                   7.11              7.01              7.20         100              7.02              7.25              7.56
131072                 10.85             10.52             11.18         100             10.51             10.83             15.54
262144                 17.44             17.34             17.54         100             17.24             17.67             22.20
524288                 32.55             32.49             32.61         100             32.31             33.07             37.65
1048576                67.43             67.38             67.48         100             67.05             71.03             72.54

Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.32              0.31              0.34        1000              0.26              0.63              0.71
2                       0.34              0.33              0.35        1000              0.28              0.57              0.64
4                       0.34              0.32              0.35        1000              0.27              0.56              0.62
8                       0.34              0.33              0.34        1000              0.28              0.51              0.61
16                      0.35              0.34              0.36        1000              0.28              0.56              0.69
32                      0.62              0.51              0.78        1000              0.57              1.08              1.30
64                      0.59              0.48              0.74        1000              0.58              0.88              1.03
128                     1.04              0.85              1.39        1000              1.02              1.29              1.45
256                     1.10              0.92              1.46        1000              1.08              1.37              1.54
512                     1.34              1.08              1.77        1000              1.31              1.64              1.84
1024                    1.58              1.29              2.11        1000              1.53              1.96              2.24
2048                    2.47              2.16              3.29        1000              2.47              2.82              3.01
4096                    3.49              3.06              4.55        1000              3.46              3.82              4.14
8192                    5.99              5.15              7.85        1000              5.95              6.34              6.56
16384                   8.25              6.60              9.38         100              7.88             11.63             16.03
32768                  11.89             11.26             12.95         100             11.57             15.05             17.48
65536                  19.06             17.94             20.64         100             19.02             23.37             25.66
131072                 35.12             33.32             37.35         100             34.37             41.61             43.75
262144                 65.57             62.33             69.03         100             62.78             79.73            101.75
524288                138.55            133.33            143.47         100            134.99            169.54            181.95
1048576               309.78            303.39            317.22         100            309.68            369.62            391.83

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.31              0.30              0.32        1000              0.26              0.54              0.65
2                       0.35              0.34              0.36        1000              0.28              0.58              0.68
4                       0.33              0.32              0.33        1000              0.29              0.54              0.60
8                       0.33              0.32              0.34        1000              0.27              0.54              0.61
16                      0.33              0.32              0.34        1000              0.28              0.55              0.60
32                      0.60              0.50              0.72        1000              0.53              1.00              1.25
64                      0.52              0.45              0.62        1000              0.49              0.92              0.97
128                     1.04              0.87              1.38        1000              1.02              1.27              1.44
256                     1.11              0.91              1.49        1000              1.08              1.31              1.59
512                     1.36              1.09              1.82        1000              1.34              1.62              1.81
1024                    1.58              1.28              2.14        1000              1.53              1.86              2.07
2048                    2.47              2.17              3.34        1000              2.49              2.82              3.01
4096                    3.76              3.27              4.95        1000              3.73              4.12              4.33
8192                    5.68              4.84              7.44        1000              5.64              6.07              6.47
16384                   8.09              6.54              9.26         100              7.73             10.97             13.38
32768                  12.36             11.86             13.37         100             12.06             15.83             16.72
65536                  20.18             19.11             21.70         100             20.36             25.79             29.27
131072                 36.38             34.72             38.47         100             35.89             44.44             47.31
262144                 71.68             69.27             74.77         100             67.59             95.13            103.69
524288                147.62            141.11            153.64         100            144.02            186.66            211.26
1048576               329.69            323.34            336.43         100            327.41            380.97            394.68

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.33              0.31              0.34        1000              0.28              0.53              0.65
2                       0.34              0.33              0.35        1000              0.27              0.55              0.63
4                       0.36              0.35              0.38        1000              0.31              0.56              0.63
8                       0.35              0.35              0.36        1000              0.27              0.56              0.62
16                      0.36              0.36              0.37        1000              0.33              0.54              0.61
32                      0.59              0.48              0.72        1000              0.54              1.03              1.19
64                      0.58              0.51              0.68        1000              0.57              0.88              0.98
128                     1.04              0.87              1.37        1000              1.02              1.27              1.42
256                     1.11              0.91              1.47        1000              1.10              1.34              1.52
512                     1.27              0.98              1.74        1000              1.25              1.56              1.79
1024                    1.58              1.29              2.12        1000              1.56              1.87              2.09
2048                    2.46              2.16              3.31        1000              2.47              2.79              2.90
4096                    3.49              3.04              4.55        1000              3.45              3.88              4.14
8192                    5.97              5.09              7.84        1000              5.96              6.24              6.52
16384                   8.51              7.02              9.67         100              8.19             11.55             13.23
32768                  12.01             11.48             13.21         100             11.49             15.07             18.75
65536                  20.74             19.41             22.31         100             20.92             25.52             28.89
131072                 35.91             34.64             38.20         100             34.12             44.97             49.40
262144                 73.36             71.72             76.11         100             69.72            100.10            104.87
524288                153.86            150.39            158.13         100            154.36            188.57            199.73
1048576               320.22            305.07            328.40         100            317.89            376.90            413.11

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.33              0.32              0.35        1000              0.28              0.58              0.63
2                       0.36              0.35              0.37        1000              0.33              0.57              0.61
4                       0.35              0.34              0.36        1000              0.29              0.55              0.60
8                       0.35              0.35              0.36        1000              0.30              0.56              0.59
16                      0.34              0.33              0.34        1000              0.28              0.54              0.62
32                      0.61              0.51              0.70        1000              0.54              1.10              1.18
64                      0.53              0.45              0.65        1000              0.51              0.83              0.92
128                     1.09              0.93              1.43        1000              1.05              1.34              1.54
256                     1.13              0.95              1.49        1000              1.11              1.40              1.51
512                     1.38              1.12              1.82        1000              1.36              1.67              1.87
1024                    1.58              1.30              2.11        1000              1.56              1.87              2.14
2048                    2.44              2.15              3.26        1000              2.45              2.82              2.98
4096                    3.48              3.05              4.53        1000              3.45              3.85              4.14
8192                    5.92              5.02              7.80        1000              5.88              6.24              6.69
16384                   8.30              6.66              9.40         100              7.99             11.36             13.22
32768                  12.65             11.96             13.74         100             12.52             16.01             16.89
65536                  20.39             19.00             21.87         100             19.84             26.02             28.11
131072                 36.93             35.23             38.99         100             35.68             47.21             48.96
262144                 72.25             70.07             75.18         100             69.30             90.01            103.94
524288                153.58            148.64            158.47         100            154.12            184.93            207.29
1048576               327.76            315.89            335.24         100            328.73            384.66            401.33

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.40              0.38              0.42        1000              0.43              0.62              0.66
2                       0.41              0.40              0.42        1000              0.44              0.60              0.68
4                       0.44              0.43              0.46        1000              0.46              0.60              0.64
8                       0.42              0.41              0.44        1000              0.45              0.58              0.63
16                      0.43              0.42              0.45        1000              0.46              0.56              0.61
32                      0.64              0.53              0.73        1000              0.58              1.10              1.28
64                      0.59              0.49              0.68        1000              0.57              0.89              0.97
128                     1.10              0.94              1.42        1000              1.06              1.35              1.49
256                     1.19              1.01              1.56        1000              1.16              1.45              1.66
512                     1.38              1.13              1.83        1000              1.34              1.63              1.83
1024                    1.68              1.40              2.19        1000              1.64              1.97              2.44
2048                    2.49              2.19              3.34        1000              2.48              2.88              3.05
4096                    3.54              3.11              4.59        1000              3.50              3.87              4.16
8192                    5.96              5.09              7.84        1000              5.95              6.29              6.47
16384                   8.29              6.90              9.45         100              8.04             11.74             13.38
32768                  12.23             11.31             13.27         100             11.78             16.12             18.82
65536                  19.09             18.30             20.64         100             18.96             23.58             24.51
131072                 35.44             33.93             37.62         100             34.46             45.56             49.73
262144                 68.45             65.66             72.01         100             65.01             87.40             98.55
524288                142.20            137.57            147.55         100            137.95            178.17            210.67
1048576               319.03            311.40            326.16         100            320.88            360.29            384.20

Procs: 6

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.69              0.50              1.20        1000              0.65              0.89              0.98
2                       0.74              0.53              1.25        1000              0.69              0.93              1.01
4                       0.70              0.52              1.20        1000              0.68              0.91              0.97
8                       0.71              0.53              1.22        1000              0.70              0.92              0.98
16                      0.69              0.51              1.20        1000              0.69              0.89              0.99
32                      1.10              0.79              1.91        1000              1.05              1.52              1.64
64                      1.08              0.78              1.77        1000              0.99              1.50              1.64
128                     1.75              1.45              2.43        1000              1.72              1.98              2.13
256                     1.84              1.52              2.53        1000              1.79              2.12              2.32
512                     2.09              1.66              2.92        1000              2.04              2.42              2.68
1024                    2.58              2.16              3.34        1000              2.52              3.07              3.31
2048                    3.64              2.88              4.46        1000              3.61              4.03              4.36
4096                    5.13              4.12              6.34        1000              5.09              5.58              5.83
8192                    8.49              6.88             10.55        1000              8.45              8.87              9.66
16384                  11.54              7.94             16.10         100             10.98             14.83             17.80
32768                  20.22             14.05             27.67         100             19.68             25.62             27.13
65536                  38.30             27.47             51.77         100             38.36             45.66             46.87
131072                 78.76             55.82            105.74         100             77.78             86.55             98.17
262144                149.70            112.67            201.66         100            149.68            160.48            164.46
524288                307.25            227.53            417.36         100            306.77            322.19            332.45
1048576               537.27            389.77            734.97         100            546.13            587.88            615.34

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.70              0.51              1.19        1000              0.69              0.88              0.99
2                       0.72              0.53              1.23        1000              0.72              0.86              0.97
4                       0.73              0.53              1.24        1000              0.70              0.83              0.92
8                       0.71              0.53              1.20        1000              0.71              0.89              0.97
16                      0.70              0.52              1.20        1000              0.71              0.82              0.90
32                      1.15              0.78              2.25        1000              1.06              1.54              1.91
64                      0.99              0.69              1.66        1000              0.90              1.47              1.60
128                     1.75              1.45              2.42        1000              1.69              2.01              2.17
256                     1.82              1.52              2.49        1000              1.78              2.05              2.37
512                     2.14              1.73              2.92        1000              2.09              2.46              2.72
1024                    2.61              2.20              3.35        1000              2.53              3.06              3.28
2048                    3.63              2.83              4.48        1000              3.61              4.00              4.39
4096                    5.06              4.04              6.20        1000              5.05              5.38              5.66
8192                    8.39              6.82             10.41        1000              8.36              8.74              9.32
16384                  11.53              7.84             15.76         100             11.22             15.09             18.56
32768                  20.03             13.50             26.96         100             19.69             25.73             26.33
65536                  38.09             27.75             50.30         100             37.49             45.49             51.84
131072                 76.01             56.20            102.33         100             76.13             84.36             86.63
262144                154.29            113.51            208.15         100            154.22            166.21            168.10
524288                315.25            238.68            420.90         100            314.66            333.93            338.43
1048576               524.69            382.20            723.41         100            527.12            602.44            694.27

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.72              0.52              1.22        1000              0.70              0.91              0.97
2                       0.74              0.53              1.27        1000              0.72              0.91              1.03
4                       0.73              0.52              1.26        1000              0.71              0.87              1.00
8                       0.75              0.56              1.25        1000              0.74              0.96              1.09
16                      0.71              0.50              1.25        1000              0.70              0.84              0.93
