Algorithm,Numprocs,Size,Avg Latency(us) mean,Avg Latency(us) sd
1,8,65536,45.915,1.2198
1,8,131072,93.2788,2.54544
1,8,262144,184.747,11.5904
1,8,524288,371,23.2086
1,8,1048576,624.597,42.4488
1,16,1,1.8425,0.0722409
1,16,2,1.82125,0.0301817
1,16,4,1.81375,0.0273576
1,16,8,1.82125,0.0333307
1,16,16,1.845,0.0463681
1,16,32,2.15625,0.0589359
1,16,64,2.00125,0.0382222
1,16,128,4.3425,0.0204634
1,16,256,4.45,0.0223607
1,16,512,4.6775,0.0352668
1,16,1024,6.56375,0.0377285
1,16,2048,8.1575,0.0248747
1,16,4096,11.44,0.119583
1,16,8192,17.49,0.175855
1,16,16384,22.7987,0.385371
1,16,32768,40.9988,0.711801
1,16,65536,83.85,1.63221
1,16,131072,169.39,3.29707
1,16,262144,338.564,6.99276
1,16,524288,664.401,26.6987
1,16,1048576,1171.94,62.2002
1,32,1,3.3175,0.0319179
1,32,2,3.39,0.0367423
1,32,4,3.47375,0.0647954
1,32,8,3.3525,0.0139194
1,32,16,3.34375,0.0199609
1,32,32,3.8125,0.0356195
1,32,64,3.71625,0.0512195
1,32,128,7.61375,0.0504821
1,32,256,7.9675,0.048926
1,32,512,8.4575,0.0530919
1,32,1024,11.905,0.0589491
1,32,2048,14.94,0.125897
1,32,4096,20.665,0.14
1,32,8192,31.4937,0.290858
1,32,16384,28.345,0.34803
1,32,32768,51.5112,0.641277
1,32,65536,105.17,1.46212
1,32,131072,215.59,2.68121
1,32,262144,429.436,4.82566
1,32,524288,855.924,10.8093
1,32,1048576,1501.46,94.737
2,2,1,0.18,0.0244949
2,2,2,0.18,0.0244949
2,2,4,0.1775,0.0240929
2,2,8,0.17875,0.0243309
2,2,16,0.17875,0.0243309
2,2,32,0.215,0.0327395
2,2,64,0.20875,0.0298139
2,2,128,0.275,0.0377078
2,2,256,0.29375,0.039841
2,2,512,0.315,0.0432652
2,2,1024,0.38125,0.0514003
2,2,2048,0.49,0.0658597
2,2,4096,0.73875,0.0989545
2,2,8192,1.18625,0.158744
2,2,16384,2.65,0.355756
2,2,32768,4.48875,0.60125
2,2,65536,5.8875,0.789168
2,2,131072,8.5275,1.14034
2,2,262144,13.4475,1.79972
2,2,524288,25.04,3.35567
2,2,1048576,54.8063,7.38574
2,4,1,0.3375,0.0139194
2,4,2,0.33375,0.00992157
2,4,4,0.33375,0.00856957
2,4,8,0.33375,0.00992157
2,4,16,0.3675,0.0139194
2,4,32,0.62125,0.0145237
2,4,64,0.5675,0.0147902
2,4,128,1.05625,0.0111102
2,4,256,1.11,0.0193649
2,4,512,1.31125,0.0261904
2,4,1024,1.6075,0.0198431
2,4,2048,2.45625,0.029554
2,4,4096,3.7775,0.0506828
2,4,8192,5.8325,0.0810478
2,4,16384,9.0825,0.180052
2,4,32768,14.3375,0.250087
2,4,65536,22.7587,0.298179
2,4,131072,40.6962,0.292786
2,4,262144,78.5225,1.83734
2,4,524288,163.116,4.73413
2,4,1048576,329.055,9.1785
2,8,1,1.0325,0.0697764
2,8,2,1.0025,0.0210654
2,8,4,0.99625,0.0131696
2,8,8,0.99125,0.0136359
2,8,16,0.99625,0.0149478
2,8,32,1.43625,0.115319
2,8,64,1.465,0.044441
2,8,128,2.68375,0.042408
2,8,256,2.75625,0.0286956
2,8,512,3.0325,0.0210654
2,8,1024,3.66,0.0396863
2,8,2048,4.9625,0.0156125
2,8,4096,7.00625,0.0393502
2,8,8192,10.955,0.0342783
2,8,16384,13.9013,0.13033
2,8,32768,22.955,0.241299
2,8,65536,44.095,2.50547
2,8,131072,83.3413,3.00708
2,8,262144,165.594,9.37216
2,8,524288,319.72,14.0234
2,8,1048576,540.683,27.0962
2,16,1,1.62125,0.104336
2,16,2,1.55875,0.0176334
2,16,4,1.55875,0.0202716
2,16,8,1.55125,0.0169097
2,16,16,1.55,0.0206155
2,16,32,2.4775,0.0686932
2,16,64,2.155,0.0331662
2,16,128,3.88875,0.0664149
2,16,256,4.0125,0.0613901
2,16,512,4.5025,0.0369966
2,16,1024,5.53375,0.0458087
2,16,2048,7.1125,0.0210654
2,16,4096,10.1362,0.0504821
2,16,8192,16.0663,0.0819966
2,16,16384,26.065,0.397744
2,16,32768,42.6975,0.483858
2,16,65536,80.4237,3.13121
2,16,131072,146.812,3.92419
2,16,262144,283.801,6.5386
2,16,524288,554.662,18.0907
2,16,1048576,1010.49,22.886
2,32,1,3.0425,0.0392906
2,32,2,3.02875,0.0410602
2,32,4,3.4325,0.0729298
2,32,8,2.99625,0.024463
2,32,16,2.9775,0.024367
2,32,32,4.26,0.0412311
2,32,64,4.13375,0.109309
2,32,128,6.495,0.047697
2,32,256,6.69,0.0244949
2,32,512,7.4525,0.0476314
2,32,1024,8.93875,0.0226039
2,32,2048,11.7525,0.0478931
2,32,4096,16.6088,0.0515843
2,32,8192,26.275,0.148408
2,32,16384,43.54,0.359757
2,32,32768,70.905,1.61715
2,32,65536,123.371,3.66674
2,32,131072,231.924,5.43528
2,32,262144,444.836,9.59807
2,32,524288,863.087,14.9315
2,32,1048576,1642.64,10.4468
