Repetition,Processes,Threads,Size,Time
1,1,1,100000000,18.9308
2,1,1,100000000,18.9522
3,1,1,100000000,19.0937
1,2,1,100000000,20.7988
2,2,1,100000000,20.6825
3,2,1,100000000,20.2261
1,4,16,100000000,16.3352
2,4,16,100000000,16.6352
3,4,16,100000000,16.7983
1,8,16,100000000,16.5446
2,8,16,100000000,16.6192
3,8,16,100000000,16.3411
1,16,16,100000000,24.6332
2,16,16,100000000,24.6052
3,16,16,100000000,26.6976
1,32,16,100000000,18.0042
2,32,16,100000000,17.8275
3,32,16,100000000,17.8061
1,40,16,100000000,20.1857
2,40,16,100000000,23.7049
3,40,16,100000000,19.9363
1,48,16,100000000,25.7403
2,48,16,100000000,25.6174
3,48,16,100000000,25.5988
1,56,16,100000000,17.9168
2,56,16,100000000,18.2294
3,56,16,100000000,18.0201
1,64,16,100000000,20.2474
2,64,16,100000000,19.8624
3,64,16,100000000,20.3099
1,72,16,100000000,26.643
2,72,16,100000000,26.435
3,72,16,100000000,47.7557
1,80,16,100000000,21.529
2,80,16,100000000,21.0683
3,80,16,100000000,22.2697
1,88,16,100000000,21.0584
2,88,16,100000000,20.6725
3,88,16,100000000,21.1489
1,96,16,100000000,18.8465
2,96,16,100000000,18.7048
3,96,16,100000000,19.2185
1,104,16,100000000,18.5787
2,104,16,100000000,20.7375
3,104,16,100000000,28.2241
1,112,16,100000000,18.5227
2,112,16,100000000,18.2052
3,112,16,100000000,18.0713
1,120,16,100000000,21.6545
2,120,16,100000000,21.4096
3,120,16,100000000,19.4813
1,128,16,100000000,19.0148
2,128,16,100000000,19.8395
3,128,16,100000000,19.0318
