Repetition,Processes,Threads,Size,Time
1,1,8,10000000,1.14075
2,1,8,10000000,1.11818
3,1,8,10000000,1.14684
1,2,8,10000000,6.37259
2,2,8,10000000,7.012
3,2,8,10000000,6.57953
1,4,8,10000000,4.58714
2,4,8,10000000,4.23568
3,4,8,10000000,6.83843
1,8,8,10000000,2.87287
2,8,8,10000000,2.50073
3,8,8,10000000,3.53061
