Repetition,Processes,Threads,Size,Time
1,1,1,100,2.0478e-05
1,2,1,200,0.000669446
1,4,16,400,0.00101995
1,8,16,800,0.00133777
1,16,16,1600,0.0391513
1,32,16,3200,0.0848542
1,40,16,4000,0.115935
1,48,16,4800,0.129669
1,56,16,5600,0.144892
1,64,16,6400,0.162526
1,72,16,7200,0.189435
1,80,16,8000,0.211641
1,88,16,8800,0.233625
1,96,16,9600,0.249949
1,104,16,10400,0.28768
1,112,16,11200,0.292417
1,120,16,12000,0.355342
1,128,16,12800,0.354061
