Repetition,Processes,Threads,Size,Time
1,1,16,10000000,35.4163
2,1,16,10000000,3.52346
3,1,16,10000000,3.26869
1,2,16,10000000,1.88698
2,2,16,10000000,8.57613
3,2,16,10000000,1.84142
1,4,16,10000000,7.49705
2,4,16,10000000,4.2681
3,4,16,10000000,4.78948
1,8,16,10000000,4.12996
2,8,16,10000000,11.3512
3,8,16,10000000,5.59719
1,16,16,10000000,2.52907
2,16,16,10000000,2.55669
3,16,16,10000000,2.44895
