


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.30              0.18              0.42        1000              0.29              0.37              0.42
2                       0.31              0.20              0.43        1000              0.29              0.38              0.41
4                       0.30              0.19              0.41        1000              0.29              0.39              0.42
8                       0.31              0.20              0.42        1000              0.29              0.37              0.41
16                      0.30              0.19              0.41        1000              0.28              0.40              0.42
32                      0.37              0.20              0.54        1000              0.35              0.47              0.55
64                      0.36              0.20              0.52        1000              0.35              0.43              0.50
128                     0.46              0.27              0.66        1000              0.43              0.49              0.53
256                     0.48              0.28              0.67        1000              0.44              0.55              0.59
512                     0.50              0.26              0.75        1000              0.49              0.56              0.61
1024                    0.56              0.28              0.85        1000              0.55              0.63              0.65
2048                    0.72              0.29              1.15        1000              0.70              0.81              0.83
4096                    1.10              0.51              1.69        1000              1.07              1.17              1.21
8192                    1.72              0.75              2.70        1000              1.70              1.80              1.86
16384                   4.15              4.07              4.23         100              4.00              4.19              9.05
32768                   6.80              6.74              6.87         100              6.74              6.93              6.97
65536                   8.87              8.75              8.99         100              8.81              8.99              9.08
131072                 13.00             12.91             13.09         100             12.83             13.03             18.40
262144                 20.97             20.91             21.04         100             20.86             21.09             26.41
524288                 38.73             38.64             38.82         100             38.44             39.50             43.71
1048576                80.53             80.49             80.57         100             80.04             84.19             85.71

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.17              0.09              0.26        1000              0.17              0.23              0.26
2                       0.21              0.12              0.30        1000              0.21              0.26              0.30
4                       0.19              0.11              0.28        1000              0.18              0.24              0.28
8                       0.21              0.12              0.30        1000              0.21              0.26              0.30
16                      0.21              0.12              0.31        1000              0.21              0.26              0.31
32                      0.26              0.12              0.41        1000              0.26              0.31              0.36
64                      0.22              0.10              0.34        1000              0.21              0.29              0.37
128                     0.31              0.16              0.46        1000              0.31              0.37              0.43
256                     0.30              0.15              0.45        1000              0.30              0.38              0.40
512                     0.37              0.19              0.55        1000              0.36              0.45              0.48
1024                    0.38              0.17              0.59        1000              0.37              0.42              0.44
2048                    0.53              0.23              0.83        1000              0.52              0.62              0.74
4096                    0.76              0.33              1.19        1000              0.75              0.80              0.83
8192                    1.21              0.61              1.82        1000              1.18              1.42              1.49
16384                   2.78              2.71              2.85         100              2.76              2.92              2.98
32768                   4.82              4.74              4.90         100              4.75              4.92              4.98
65536                   6.43              6.34              6.53         100              6.34              6.52             10.49
131072                  9.58              9.50              9.66         100              9.37              9.71             15.05
262144                 15.53             15.43             15.63         100             15.30             16.14             19.81
524288                 29.12             29.04             29.20         100             28.75             30.62             33.17
1048576                61.50             61.49             61.51         100             60.96             65.55             67.67

Test: 3
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.18              0.09              0.27        1000              0.17              0.25              0.27
2                       0.22              0.12              0.31        1000              0.21              0.29              0.31
4                       0.18              0.09              0.27        1000              0.17              0.23              0.27
8                       0.19              0.10              0.28        1000              0.19              0.25              0.28
16                      0.23              0.13              0.33        1000              0.21              0.26              0.31
32                      0.23              0.10              0.36        1000              0.22              0.29              0.32
64                      0.26              0.11              0.40        1000              0.26              0.32              0.36
128                     0.32              0.17              0.48        1000              0.31              0.40              0.41
256                     0.31              0.15              0.47        1000              0.31              0.38              0.39
512                     0.37              0.18              0.56        1000              0.36              0.45              0.48
1024                    0.39              0.18              0.60        1000              0.38              0.43              0.45
2048                    0.54              0.24              0.84        1000              0.53              0.63              0.69
4096                    0.76              0.33              1.19        1000              0.76              0.80              0.84
8192                    1.24              0.64              1.83        1000              1.17              1.43              1.50
16384                   2.76              2.70              2.82         100              2.74              2.90              2.93
32768                   4.85              4.77              4.94         100              4.71              4.83              4.95
65536                   6.32              6.19              6.44         100              6.26              6.44              6.69
131072                  9.42              9.32              9.52         100              9.29              9.57             13.69
262144                 15.50             15.44             15.55         100             15.36             15.94             16.28
524288                 28.90             28.85             28.95         100             28.62             29.64             33.65
1048576                61.53             61.49             61.58         100             61.19             64.56             66.13

Test: 4
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.18              0.09              0.26        1000              0.17              0.25              0.27
2                       0.21              0.12              0.30        1000              0.21              0.26              0.29
4                       0.22              0.12              0.31        1000              0.21              0.27              0.30
8                       0.21              0.12              0.30        1000              0.20              0.26              0.29
16                      0.21              0.13              0.30        1000              0.21              0.28              0.31
32                      0.27              0.13              0.41        1000              0.25              0.37              0.42
64                      0.23              0.10              0.35        1000              0.21              0.30              0.33
128                     0.30              0.15              0.46        1000              0.30              0.35              0.38
256                     0.31              0.15              0.46        1000              0.30              0.37              0.39
512                     0.36              0.18              0.54        1000              0.36              0.42              0.46
1024                    0.39              0.18              0.60        1000              0.37              0.45              0.47
2048                    0.49              0.19              0.80        1000              0.48              0.57              0.59
4096                    0.77              0.37              1.17        1000              0.74              0.90              0.95
8192                    1.25              0.59              1.90        1000              1.24              1.30              1.37
16384                   2.82              2.75              2.89         100              2.81              2.92              2.99
32768                   4.89              4.79              4.98         100              4.72              4.89             10.77
65536                   6.28              6.18              6.38         100              6.22              6.37              6.56
131072                  9.66              9.28             10.05         100              9.28              9.68             10.36
262144                 15.30             15.23             15.37         100             15.18             15.65             15.71
524288                 28.74             28.68             28.81         100             28.47             29.82             32.84
1048576                61.20             61.15             61.24         100             60.58             64.47             67.22

Test: 5
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.19              0.10              0.27        1000              0.17              0.27              0.28
2                       0.20              0.12              0.28        1000              0.18              0.25              0.29
4                       0.22              0.13              0.31        1000              0.21              0.31              0.33
8                       0.21              0.13              0.30        1000              0.21              0.27              0.31
16                      0.22              0.13              0.31        1000              0.21              0.30              0.32
32                      0.22              0.10              0.34        1000              0.20              0.32              0.36
64                      0.24              0.11              0.36        1000              0.22              0.30              0.36
128                     0.31              0.17              0.46        1000              0.31              0.36              0.38
256                     0.31              0.16              0.46        1000              0.29              0.39              0.40
512                     0.36              0.17              0.55        1000              0.36              0.41              0.44
1024                    0.39              0.18              0.59        1000              0.38              0.47              0.49
2048                    0.54              0.24              0.84        1000              0.53              0.64              0.67
4096                    0.78              0.35              1.22        1000              0.77              0.88              0.90
8192                    1.23              0.63              1.82        1000              1.18              1.43              1.50
16384                   2.77              2.72              2.82         100              2.74              2.92              2.96
32768                   4.75              4.66              4.84         100              4.73              4.88              4.94
65536                   6.31              6.17              6.44         100              6.25              6.43              6.52
131072                  9.41              9.29              9.53         100              9.31              9.55             12.69
262144                 15.33             15.27             15.39         100             15.18             15.77             19.55
524288                 28.74             28.66             28.83         100             28.49             29.62             33.07
1048576                61.26             61.21             61.30         100             60.69             64.78             65.53


Procs: 4

Test: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.44              0.28              0.56        1000              0.42              0.59              0.75
2                       0.45              0.27              0.59        1000              0.43              0.60              0.69
4                       0.45              0.27              0.58        1000              0.44              0.58              0.66
8                       0.43              0.26              0.56        1000              0.41              0.57              0.68
16                      0.45              0.27              0.58        1000              0.43              0.56              0.69
32                      0.66              0.26              1.07        1000              0.64              0.89              1.01
64                      0.63              0.27              1.01        1000              0.61              0.80              0.92
128                     0.92              0.48              1.33        1000              0.90              1.09              1.31
256                     1.01              0.50              1.47        1000              0.97              1.19              1.37
512                     1.13              0.59              1.63        1000              1.10              1.28              1.42
1024                    1.42              0.73              2.01        1000              1.37              1.57              1.73
2048                    1.89              1.02              2.75        1000              1.88              2.07              2.17
4096                    2.83              1.63              3.97        1000              2.79              3.07              3.24
8192                    4.92              1.98              7.42        1000              4.87              5.26              6.20
16384                   7.81              6.70              8.61         100              7.71              9.69             13.67
32768                  13.27             12.38             14.14         100             13.05             16.64             19.77
65536                  22.08             20.71             23.18         100             21.81             25.49             26.99
131072                 42.54             41.71             44.28         100             42.34             50.50             53.37
262144                 83.11             81.60             84.90         100             83.36             94.35            102.94
524288                171.28            162.72            177.19         100            171.34            195.28            206.88
1048576               419.22            220.32            517.95         100            419.07            425.71            427.68

Test: 2
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.45              0.27              0.58        1000              0.43              0.62              0.73
2                       0.45              0.27              0.59        1000              0.44              0.57              0.65
4                       0.44              0.27              0.57        1000              0.43              0.56              0.62
8                       0.44              0.27              0.57        1000              0.43              0.55              0.61
